Time,Voltage,Current,Total mAh,Temperature
0.030428171157836914,4.196375,0.64,0.08888888888888889,24.937
0.5363559722900391,4.196448,0.628,0.1761111111111111,24.937
1.0322585105895996,4.196761,0.628,0.2633333333333333,24.937
1.5439531803131104,4.196552,0.618,0.3491666666666666,24.937
2.0258030891418457,4.197042,0.608,0.43361111111111106,24.937
2.5568835735321045,4.1965,0.598,0.5166666666666666,24.937
3.026508092880249,4.197324,0.598,0.5997222222222222,24.937
3.526979446411133,4.197105,0.592,0.6819444444444444,24.937
4.027454614639282,4.197491,0.584,0.7630555555555555,24.937
4.527342319488525,4.197387,0.584,0.8441666666666666,24.875
5.028407573699951,4.197763,0.576,0.9241666666666666,24.875
5.528767347335815,4.197533,0.57,1.0033333333333332,24.937
6.03131890296936,4.198212,0.564,1.0816666666666666,24.937
6.5399370193481445,4.197648,0.564,1.16,24.937
7.039935111999512,4.198577,0.557,1.2373611111111111,24.937
7.536285400390625,4.197857,0.551,1.3138888888888889,24.937
8.088696956634521,4.198347,0.546,1.3897222222222223,24.937
8.530842542648315,4.197752,0.546,1.4655555555555557,24.937
9.027758359909058,4.198441,0.541,1.5406944444444446,24.937
9.527952432632446,4.198316,0.535,1.6150000000000002,24.937
10.02883529663086,4.198744,0.535,1.6893055555555558,24.937
10.53066635131836,4.198472,0.532,1.7631944444444447,24.937
11.030708312988281,4.198629,0.526,1.8362500000000004,24.937
11.531815767288208,4.198149,0.522,1.9087500000000004,24.875
12.044074058532715,4.198681,0.522,1.9812500000000004,24.875
12.53941297531128,4.198608,0.517,2.053055555555556,24.875
13.040215969085693,4.19889,0.513,2.124305555555556,24.875
13.530263185501099,4.198379,0.513,2.195555555555556,24.937
14.027951002120972,4.199036,0.509,2.2662500000000003,24.875
14.536303997039795,4.198618,0.505,2.336388888888889,24.875
15.030280828475952,4.199026,0.501,2.405972222222222,24.875
15.532618999481201,4.198754,0.501,2.4755555555555553,24.875
16.027109146118164,4.199078,0.498,2.544722222222222,24.875
16.52696657180786,4.198702,0.494,2.6133333333333333,24.875
17.032968759536743,4.199297,0.49,2.681388888888889,24.812
17.538272380828857,4.198921,0.49,2.7494444444444444,24.875
18.037730932235718,4.199318,0.487,2.817083333333333,24.875
18.538772583007812,4.199005,0.483,2.8841666666666663,24.875
19.029879093170166,4.199412,0.483,2.9512499999999995,24.875
19.52702283859253,4.199015,0.479,3.0177777777777774,24.875
20.02972388267517,4.199621,0.478,3.0841666666666665,24.875
20.525546550750732,4.198994,0.474,3.15,24.875
21.025797843933105,4.199704,0.474,3.2158333333333333,24.875
21.52864646911621,4.199349,0.471,3.28125,24.875
22.029515981674194,4.199621,0.467,3.346111111111111,24.875
22.54232931137085,4.199234,0.465,3.4106944444444443,24.875
23.030846118927002,4.199715,0.465,3.4752777777777775,24.875
23.541801929473877,4.199401,0.462,3.539444444444444,24.875
24.0338773727417,4.199798,0.457,3.6029166666666663,24.875
24.53996467590332,4.199307,0.457,3.6663888888888887,24.875
25.02721905708313,4.199944,0.455,3.7295833333333333,24.875
25.5383939743042,4.199339,0.451,3.792222222222222,24.875
26.027079582214355,4.200038,0.449,3.8545833333333333,24.875
26.526911973953247,4.19937,0.449,3.9169444444444443,24.875
27.027806758880615,4.200069,0.446,3.9788888888888887,24.875
27.530218362808228,4.199579,0.444,4.040555555555556,24.875
28.066155672073364,4.20033,0.442,4.101944444444444,24.812
28.52668571472168,4.199861,0.442,4.163333333333333,24.812
