Mode,Time(s),Value
DCV,0.0081179999,6.1713423E+01
DCV,0.0242160000,6.1714266E+01
DCV,0.0398980007,6.1715079E+01
DCV,0.0623680018,6.1713905E+01
DCV,0.0778490007,6.1712731E+01
DCV,0.0934299976,6.1712159E+01
DCV,0.1162500009,6.1712430E+01
DCV,0.1316169947,6.1712822E+01
DCV,0.1542579979,6.1713604E+01
DCV,0.1696819961,6.1714055E+01
DCV,0.1850260049,6.1713995E+01
DCV,0.2081580013,6.1713032E+01
DCV,0.2235579938,6.1713664E+01
DCV,0.2414920032,6.1714748E+01
DCV,0.2573119998,6.1714718E+01
DCV,0.2801780105,6.1713574E+01
DCV,0.2956469953,6.1712280E+01
DCV,0.3182600141,6.1711919E+01
DCV,0.3333980143,6.1712460E+01
DCV,0.3488619924,6.1713754E+01
DCV,0.3720799983,6.1712671E+01
DCV,0.3874379992,6.1712611E+01
DCV,0.4100269973,6.1713243E+01
DCV,0.4251210093,6.1713273E+01
DCV,0.4405269921,6.1714116E+01
DCV,0.4638879895,6.1714236E+01
DCV,0.4792779982,6.1714266E+01
DCV,0.4943830073,6.1712641E+01
DCV,0.5169379711,6.1710895E+01
DCV,0.5324329734,6.1710414E+01
DCV,0.5554230213,6.1711106E+01
DCV,0.5709879994,6.1713423E+01
DCV,0.5861260295,6.1715620E+01
DCV,0.6084910035,6.1715982E+01
DCV,0.6243199706,6.1715199E+01
DCV,0.6470339894,6.1713724E+01
DCV,0.6621410251,6.1713965E+01
DCV,0.6773869991,6.1714146E+01
DCV,0.6997290254,6.1713544E+01
DCV,0.7151769996,6.1714236E+01
DCV,0.7380589843,6.1714417E+01
DCV,0.7531750202,6.1714537E+01
DCV,0.7754480243,6.1715018E+01
DCV,0.7909979820,6.1714627E+01
DCV,0.8067430258,6.1714898E+01
DCV,0.8293589950,6.1714778E+01
DCV,0.8446819782,6.1713905E+01
DCV,0.8669779897,6.1712671E+01
DCV,0.8825280070,6.1712490E+01
DCV,0.8985440135,6.1712220E+01
DCV,0.9212520123,6.1713062E+01
DCV,0.9363430142,6.1714266E+01
DCV,0.9515929818,6.1715590E+01
DCV,0.9744769931,6.1715259E+01
DCV,0.9901440144,6.1714988E+01
DCV,1.0129899979,6.1714537E+01
DCV,1.0280920267,6.1714898E+01
DCV,1.0433429480,6.1714206E+01
DCV,1.0663629770,6.1713454E+01
DCV,1.0820499659,6.1715169E+01
DCV,1.1048929691,6.1715590E+01
DCV,1.1199899912,6.1715650E+01
DCV,1.1352870464,6.1715530E+01
DCV,1.1582709551,6.1715982E+01
DCV,1.1738409996,6.1715711E+01
DCV,1.1891969442,6.1715650E+01
DCV,1.2117929459,6.1715681E+01
DCV,1.2272310257,6.1714296E+01
DCV,1.2514339685,6.1714687E+01
DCV,1.2672519684,6.1714748E+01
DCV,1.2826210260,6.1714025E+01
DCV,1.3052580357,6.1714417E+01
DCV,1.3209079504,6.1714206E+01
DCV,1.3360749483,6.1714356E+01
DCV,1.3588629961,6.1715049E+01
DCV,1.3744289875,6.1715711E+01
DCV,1.3971619606,6.1716012E+01
DCV,1.4125180244,6.1715049E+01
DCV,1.4279049635,6.1713664E+01
DCV,1.4506230354,6.1713032E+01
DCV,1.4659700394,6.1714236E+01
DCV,1.4889839888,6.1714778E+01
DCV,1.5043590069,6.1714206E+01
DCV,1.5195070505,6.1714206E+01
DCV,1.5424139500,6.1715289E+01
DCV,1.5580110550,6.1716674E+01
DCV,1.5735160112,6.1716644E+01
DCV,1.5961630344,6.1715590E+01
DCV,1.6112719774,6.1714657E+01
DCV,1.6339600086,6.1714266E+01
DCV,1.6499719620,6.1714146E+01
DCV,1.6653540134,6.1714808E+01
DCV,1.6877429485,6.1714958E+01
DCV,1.7030700445,6.1716102E+01
DCV,1.7258169651,6.1716704E+01
DCV,1.7414690256,6.1716162E+01
DCV,1.7570389509,6.1716734E+01
DCV,1.7794070244,6.1716824E+01
DCV,1.7944649458,6.1715801E+01
DCV,1.8175259829,6.1715109E+01
DCV,1.8329809904,6.1714266E+01
DCV,1.8480850458,6.1713785E+01
DCV,1.8705910444,6.1713634E+01
DCV,1.8856760263,6.1715289E+01
DCV,1.9088920355,6.1715289E+01
DCV,1.9242630005,6.1715319E+01
DCV,1.9393609762,6.1715741E+01
DCV,1.9618439674,6.1716433E+01
DCV,1.9768990278,6.1716734E+01
DCV,1.9996119738,6.1716403E+01
DCV,2.0151910782,6.1715590E+01
DCV,2.0303239822,6.1715350E+01
DCV,2.0525960922,6.1715831E+01
DCV,2.0681068897,6.1716102E+01
DCV,2.0911240578,6.1715711E+01
DCV,2.1064729691,6.1716463E+01
DCV,2.1218020916,6.1717155E+01
DCV,2.1440930367,6.1717306E+01
DCV,2.1623189449,6.1715289E+01
DCV,2.1779830456,6.1713544E+01
DCV,2.2003769875,6.1714176E+01
DCV,2.2153899670,6.1714296E+01
DCV,2.2380530834,6.1715410E+01
DCV,2.2538321018,6.1714838E+01
DCV,2.2694799900,6.1714025E+01
DCV,2.2922630310,6.1715921E+01
DCV,2.3073430061,6.1717396E+01
DCV,2.3327229023,6.1717306E+01
DCV,2.3486349583,6.1715921E+01
DCV,2.3640298843,6.1714748E+01
DCV,2.3791079521,6.1715139E+01
DCV,2.4015851021,6.1715079E+01
DCV,2.4171030521,6.1716493E+01
DCV,2.4328660965,6.1715590E+01
DCV,2.4557290077,6.1715530E+01
DCV,2.4708719254,6.1716132E+01
DCV,2.4933149815,6.1716704E+01
DCV,2.5091259480,6.1717155E+01
DCV,2.5247979164,6.1717005E+01
DCV,2.5474181175,6.1716583E+01
DCV,2.5627338886,6.1716132E+01
DCV,2.5855340958,6.1716252E+01
DCV,2.6010301113,6.1716824E+01
DCV,2.6167569160,6.1715560E+01
DCV,2.6393859386,6.1714447E+01
DCV,2.6544709206,6.1715560E+01
DCV,2.6773309708,6.1716222E+01
DCV,2.6927471161,6.1715861E+01
DCV,2.7082281113,6.1716403E+01
DCV,2.7311561108,6.1716674E+01
DCV,2.7462580204,6.1715771E+01
DCV,2.7616610527,6.1715139E+01
DCV,2.7845690250,6.1716102E+01
DCV,2.8000481129,6.1716945E+01
DCV,2.8228800297,6.1717396E+01
DCV,2.8382880688,6.1717095E+01
DCV,2.8537740707,6.1716794E+01
DCV,2.8764600754,6.1717306E+01
DCV,2.8919169903,6.1717005E+01
DCV,2.9145169258,6.1716945E+01
DCV,2.9302189350,6.1717185E+01
DCV,2.9455869198,6.1716282E+01
DCV,2.9679930210,6.1716373E+01
DCV,2.9836130142,6.1716824E+01
DCV,3.0064918995,6.1716072E+01
DCV,3.0220820904,6.1716463E+01
DCV,3.0375759602,6.1717276E+01
DCV,3.0599839687,6.1717125E+01
DCV,3.0755219460,6.1716252E+01
DCV,3.0913579464,6.1716794E+01
DCV,3.1142470837,6.1717125E+01
DCV,3.1295449734,6.1715711E+01
DCV,3.1521649361,6.1716282E+01
DCV,3.1675989628,6.1716463E+01
DCV,3.1833169460,6.1717005E+01
DCV,3.2062571049,6.1717035E+01
DCV,3.2213881016,6.1717486E+01
DCV,3.2437949181,6.1717998E+01
DCV,3.2594089508,6.1716553E+01
DCV,3.2753229141,6.1716012E+01
DCV,3.2979431152,6.1717306E+01
DCV,3.3132491112,6.1717155E+01
DCV,3.3282959461,6.1717095E+01
DCV,3.3511559963,6.1716674E+01
DCV,3.3668270111,6.1716493E+01
DCV,3.3892209530,6.1716583E+01
DCV,3.4042429924,6.1717727E+01
DCV,3.4267549515,6.1717215E+01
DCV,3.4421970844,6.1716192E+01
DCV,3.4575650692,6.1716794E+01
DCV,3.4802110195,6.1717246E+01
DCV,3.4952759743,6.1716162E+01
DCV,3.5181219578,6.1715018E+01
DCV,3.5338950157,6.1714958E+01
DCV,3.5492599010,6.1716162E+01
DCV,3.5718479156,6.1717577E+01
DCV,3.5868968964,6.1717607E+01
DCV,3.6096599102,6.1716854E+01
DCV,3.6256160736,6.1716493E+01
DCV,3.6409571171,6.1716945E+01
DCV,3.6633329391,6.1717215E+01
DCV,3.6785900593,6.1717185E+01
DCV,3.6969180107,6.1716704E+01
DCV,3.7126159668,6.1716433E+01
DCV,3.7354609966,6.1717155E+01
DCV,3.7505950928,6.1717065E+01
DCV,3.7730998993,6.1716614E+01
DCV,3.7890379429,6.1717005E+01
DCV,3.8046970367,6.1718690E+01
DCV,3.8273129463,6.1718630E+01
DCV,3.8426229954,6.1718088E+01
