Mode,Time(s),Value
DCV,0.0005550000,6.1794801E+01
DCV,0.0163920000,6.1794290E+01
DCV,0.0398170017,6.1794621E+01
DCV,0.0551469997,6.1794831E+01
DCV,0.0705559999,6.1794831E+01
DCV,0.0934949964,6.1795283E+01
DCV,0.1089010015,6.1794862E+01
DCV,0.1243349984,6.1794561E+01
DCV,0.1469630003,6.1794681E+01
DCV,0.1623470038,6.1794350E+01
DCV,0.1851069927,6.1794561E+01
DCV,0.2008219957,6.1795734E+01
DCV,0.2161840051,6.1795072E+01
DCV,0.2385350019,6.1794771E+01
DCV,0.2541500032,6.1794591E+01
DCV,0.2770929933,6.1794771E+01
DCV,0.2926079929,6.1794862E+01
DCV,0.3079760075,6.1795132E+01
DCV,0.3302890062,6.1795614E+01
DCV,0.3456780016,6.1795644E+01
DCV,0.3690069914,6.1795042E+01
DCV,0.3843980134,6.1795253E+01
DCV,0.3994889855,6.1795433E+01
DCV,0.4219830036,6.1794922E+01
DCV,0.4373179972,6.1795343E+01
DCV,0.4531469941,6.1795433E+01
DCV,0.4760609865,6.1795524E+01
DCV,0.4911909997,6.1795764E+01
DCV,0.5137100220,6.1796035E+01
DCV,0.5290970206,6.1796306E+01
DCV,0.5448150039,6.1795915E+01
DCV,0.5676519871,6.1795313E+01
DCV,0.5827640295,6.1795132E+01
DCV,0.6050500274,6.1794831E+01
DCV,0.6206470132,6.1794982E+01
DCV,0.6361330152,6.1795373E+01
DCV,0.6584969759,6.1795644E+01
DCV,0.6737589836,6.1795644E+01
DCV,0.6960309744,6.1795162E+01
DCV,0.7116389871,6.1795253E+01
DCV,0.7345730066,6.1795614E+01
DCV,0.7497140169,6.1795433E+01
DCV,0.7647659779,6.1795433E+01
DCV,0.7875409722,6.1795855E+01
DCV,0.8034150004,6.1795554E+01
DCV,0.8188430071,6.1795764E+01
DCV,0.8414599895,6.1795734E+01
DCV,0.8565009832,6.1795343E+01
DCV,0.8817660213,6.1796035E+01
DCV,0.8977550268,6.1795403E+01
DCV,0.9131129980,6.1795223E+01
DCV,0.9281989932,6.1795283E+01
DCV,0.9506869912,6.1795614E+01
DCV,0.9661719799,6.1795614E+01
DCV,0.9892280102,6.1795614E+01
DCV,1.0048049688,6.1796246E+01
DCV,1.0202009678,6.1796758E+01
DCV,1.0455520153,6.1795794E+01
DCV,1.0615439415,6.1795403E+01
DCV,1.0769699812,6.1796095E+01
DCV,1.0993239880,6.1796547E+01
DCV,1.1145629883,6.1796186E+01
DCV,1.1298819780,6.1796035E+01
DCV,1.1529760361,6.1794922E+01
DCV,1.1686400175,6.1795072E+01
DCV,1.1910200119,6.1795674E+01
DCV,1.2060589790,6.1795433E+01
DCV,1.2217719555,6.1795704E+01
DCV,1.2448350191,6.1796095E+01
DCV,1.2602380514,6.1795794E+01
DCV,1.2755910158,6.1795885E+01
DCV,1.2980250120,6.1795915E+01
DCV,1.3135789633,6.1795584E+01
DCV,1.3367500305,6.1795794E+01
DCV,1.3521740437,6.1795915E+01
DCV,1.3673269749,6.1795524E+01
DCV,1.3903349638,6.1795223E+01
DCV,1.4057619572,6.1795614E+01
DCV,1.4286739826,6.1796216E+01
DCV,1.4441009760,6.1796396E+01
DCV,1.4592009783,6.1796396E+01
DCV,1.4821209908,6.1795825E+01
DCV,1.4975399971,6.1795373E+01
DCV,1.5202790499,6.1795734E+01
DCV,1.5359480381,6.1795945E+01
DCV,1.5510679483,6.1795764E+01
DCV,1.5737700462,6.1795794E+01
DCV,1.5893419981,6.1796035E+01
DCV,1.6120409966,6.1795825E+01
DCV,1.6275240183,6.1796216E+01
DCV,1.6431750059,6.1796517E+01
DCV,1.6658630371,6.1796186E+01
DCV,1.6809469461,6.1796035E+01
DCV,1.7037990093,6.1796216E+01
DCV,1.7192230225,6.1795915E+01
DCV,1.7347129583,6.1795283E+01
DCV,1.7575540543,6.1795433E+01
DCV,1.7728149891,6.1795975E+01
DCV,1.7879049778,6.1796727E+01
DCV,1.8110209703,6.1796336E+01
DCV,1.8266279697,6.1795674E+01
DCV,1.8491359949,6.1796095E+01
DCV,1.8644260168,6.1796547E+01
DCV,1.8795030117,6.1795825E+01
DCV,1.9024130106,6.1795554E+01
DCV,1.9181339741,6.1796276E+01
DCV,1.9405529499,6.1796005E+01
DCV,1.9555859566,6.1796035E+01
DCV,1.9708969593,6.1796727E+01
DCV,1.9938390255,6.1796186E+01
DCV,2.0092029572,6.1795945E+01
DCV,2.0317718983,6.1795644E+01
DCV,2.0512719154,6.1795825E+01
DCV,2.0668749809,6.1796487E+01
DCV,2.0828170776,6.1796065E+01
DCV,2.1053409576,6.1796306E+01
DCV,2.1204040051,6.1796186E+01
DCV,2.1356480122,6.1795584E+01
DCV,2.1583960056,6.1795554E+01
DCV,2.1738450527,6.1795855E+01
DCV,2.1964499950,6.1796426E+01
DCV,2.2114870548,6.1796667E+01
DCV,2.2264630795,6.1796126E+01
DCV,2.2495200634,6.1795524E+01
DCV,2.2649619579,6.1796095E+01
DCV,2.2875471115,6.1795855E+01
DCV,2.3026158810,6.1796065E+01
DCV,2.3251440525,6.1796577E+01
DCV,2.3410999775,6.1796878E+01
DCV,2.3565518856,6.1796908E+01
DCV,2.3789029121,6.1797299E+01
DCV,2.3941419125,6.1796998E+01
DCV,2.4094960690,6.1796216E+01
DCV,2.4325599670,6.1796306E+01
DCV,2.4482469559,6.1796818E+01
DCV,2.4706170559,6.1796156E+01
DCV,2.4856240749,6.1796126E+01
DCV,2.5012979507,6.1796156E+01
DCV,2.5243020058,6.1796005E+01
DCV,2.5397169590,6.1796667E+01
DCV,2.5623209476,6.1796998E+01
DCV,2.5776090622,6.1796246E+01
DCV,2.5931909084,6.1796788E+01
DCV,2.6163480282,6.1796005E+01
DCV,2.6317610741,6.1795193E+01
DCV,2.6468749046,6.1795734E+01
DCV,2.6697480679,6.1796758E+01
DCV,2.6852018833,6.1796667E+01
DCV,2.7078940868,6.1796366E+01
DCV,2.7235569954,6.1796366E+01
DCV,2.7386789322,6.1797149E+01
DCV,2.7613670826,6.1797600E+01
DCV,2.7769200802,6.1797149E+01
DCV,2.7996289730,6.1796457E+01
DCV,2.8150579929,6.1795794E+01
DCV,2.8305380344,6.1795855E+01
DCV,2.8530778885,6.1795734E+01
DCV,2.8682639599,6.1795072E+01
DCV,2.8915700912,6.1796065E+01
DCV,2.9073541164,6.1796186E+01
DCV,2.9230389595,6.1796095E+01
DCV,2.9459340572,6.1796758E+01
DCV,2.9610550404,6.1797119E+01
DCV,2.9761269093,6.1796727E+01
DCV,2.9992289543,6.1796938E+01
DCV,3.0149979591,6.1796818E+01
DCV,3.0376141071,6.1796186E+01
DCV,3.0550029278,6.1796156E+01
DCV,3.0706200600,6.1796246E+01
DCV,3.0860419273,6.1796426E+01
DCV,3.1090428829,6.1796938E+01
DCV,3.1243789196,6.1796818E+01
DCV,3.1467409134,6.1796637E+01
DCV,3.1621830463,6.1797028E+01
DCV,3.1777749062,6.1796908E+01
DCV,3.2004969120,6.1796727E+01
DCV,3.2158410549,6.1796186E+01
DCV,3.2381370068,6.1796005E+01
DCV,3.2533280849,6.1795764E+01
DCV,3.2690229416,6.1796848E+01
DCV,3.2917530537,6.1797390E+01
DCV,3.3068699837,6.1797209E+01
DCV,3.3293979168,6.1796697E+01
DCV,3.3446159363,6.1796758E+01
DCV,3.3602681160,6.1796396E+01
DCV,3.3832170963,6.1796126E+01
DCV,3.3983409405,6.1796396E+01
DCV,3.4208409786,6.1796005E+01
DCV,3.4360630512,6.1796156E+01
DCV,3.4515969753,6.1796426E+01
DCV,3.4745569229,6.1796938E+01
DCV,3.4896769524,6.1797299E+01
DCV,3.5119431019,6.1797510E+01
DCV,3.5277318954,6.1797089E+01
DCV,3.5434811115,6.1797420E+01
DCV,3.5661580563,6.1796818E+01
DCV,3.5815010071,6.1795915E+01
DCV,3.6040890217,6.1795915E+01
DCV,3.6197280884,6.1797119E+01
DCV,3.6355381012,6.1797480E+01
DCV,3.6582279205,6.1797239E+01
DCV,3.6733279228,6.1797149E+01
DCV,3.6962299347,6.1797630E+01
DCV,3.7117669582,6.1797149E+01
