Mode,Time(s),Value
DCV,0.0005570000,6.1788903E+01
DCV,0.0164429992,6.1789234E+01
DCV,0.0393760018,6.1789324E+01
DCV,0.0545229986,6.1788842E+01
DCV,0.0698729977,6.1789083E+01
DCV,0.0930799991,6.1789354E+01
DCV,0.1085069999,6.1789745E+01
DCV,0.1308919936,6.1788662E+01
DCV,0.1461189985,6.1788692E+01
DCV,0.1614809930,6.1789775E+01
DCV,0.1845590025,6.1789805E+01
DCV,0.2001570016,6.1789053E+01
DCV,0.2225230038,6.1788993E+01
DCV,0.2375939935,6.1788722E+01
DCV,0.2531690001,6.1789023E+01
DCV,0.2761470079,6.1789294E+01
DCV,0.2915009856,6.1788993E+01
DCV,0.3140870035,6.1789625E+01
DCV,0.3291090131,6.1790046E+01
DCV,0.3444519937,6.1789505E+01
DCV,0.3676880002,6.1789655E+01
DCV,0.3830060065,6.1789444E+01
DCV,0.4053339958,6.1788873E+01
DCV,0.4205630124,6.1789143E+01
DCV,0.4388290048,6.1789505E+01
DCV,0.4542979896,6.1789565E+01
DCV,0.4769139886,6.1789775E+01
DCV,0.4919809997,6.1790076E+01
DCV,0.5143989921,6.1789565E+01
DCV,0.5304390192,6.1789204E+01
DCV,0.5458769798,6.1788752E+01
DCV,0.5682470202,6.1789083E+01
DCV,0.5834929943,6.1789294E+01
DCV,0.6090880036,6.1788842E+01
DCV,0.6247910261,6.1789294E+01
DCV,0.6404299736,6.1789685E+01
DCV,0.6555340290,6.1789384E+01
DCV,0.6778349876,6.1789655E+01
DCV,0.6935719848,6.1790016E+01
DCV,0.7166349888,6.1789474E+01
DCV,0.7319729924,6.1790076E+01
DCV,0.7472730279,6.1789745E+01
DCV,0.7696679831,6.1789294E+01
DCV,0.7852020264,6.1788963E+01
DCV,0.8010579944,6.1789264E+01
DCV,0.8236749768,6.1789896E+01
DCV,0.8387579918,6.1790468E+01
DCV,0.8615229726,6.1790468E+01
DCV,0.8769879937,6.1789565E+01
DCV,0.8925319910,6.1789414E+01
DCV,0.9154279828,6.1789023E+01
DCV,0.9305310249,6.1789173E+01
DCV,0.9534440041,6.1789655E+01
DCV,0.9688439965,6.1789715E+01
DCV,0.9843459725,6.1789234E+01
DCV,1.0071909428,6.1789474E+01
DCV,1.0223070383,6.1789836E+01
DCV,1.0450470448,6.1790468E+01
DCV,1.0606629848,6.1790016E+01
DCV,1.0761389732,6.1789474E+01
DCV,1.0987550020,6.1789805E+01
DCV,1.1143679619,6.1789715E+01
DCV,1.1298149824,6.1789324E+01
DCV,1.1522350311,6.1789565E+01
DCV,1.1679170132,6.1789805E+01
DCV,1.1905269623,6.1790076E+01
DCV,1.2060120106,6.1790317E+01
DCV,1.2216099501,6.1789655E+01
DCV,1.2440550327,6.1789836E+01
DCV,1.2594939470,6.1789896E+01
DCV,1.2825579643,6.1789956E+01
DCV,1.2982469797,6.1790046E+01
DCV,1.3135410547,6.1789505E+01
DCV,1.3361779451,6.1789053E+01
DCV,1.3518619537,6.1789053E+01
DCV,1.3765820265,6.1789113E+01
DCV,1.3921780586,6.1788752E+01
DCV,1.4073359966,6.1789113E+01
DCV,1.4255169630,6.1789655E+01
DCV,1.4412620068,6.1789805E+01
DCV,1.4640640020,6.1789113E+01
DCV,1.4794340134,6.1789204E+01
DCV,1.5020259619,6.1789294E+01
DCV,1.5171420574,6.1789474E+01
DCV,1.5327039957,6.1789354E+01
DCV,1.5558650494,6.1789264E+01
DCV,1.5712050200,6.1789565E+01
DCV,1.5935679674,6.1789866E+01
DCV,1.6088759899,6.1789745E+01
DCV,1.6244909763,6.1789986E+01
DCV,1.6473449469,6.1789354E+01
DCV,1.6628210545,6.1788903E+01
DCV,1.6851700544,6.1789384E+01
DCV,1.7002370358,6.1789414E+01
DCV,1.7160300016,6.1789143E+01
DCV,1.7387419939,6.1789414E+01
DCV,1.7538479567,6.1789083E+01
DCV,1.7763530016,6.1788993E+01
DCV,1.7914079428,6.1790137E+01
DCV,1.8068649769,6.1790498E+01
DCV,1.8297270536,6.1789505E+01
DCV,1.8448280096,6.1789384E+01
DCV,1.8673030138,6.1789505E+01
DCV,1.8827250004,6.1789565E+01
DCV,1.8984620571,6.1789234E+01
DCV,1.9213229418,6.1789565E+01
DCV,1.9364190102,6.1789805E+01
DCV,1.9586859941,6.1790377E+01
DCV,1.9743449688,6.1790528E+01
DCV,1.9900239706,6.1789956E+01
DCV,2.0126969814,6.1790137E+01
DCV,2.0280089378,6.1789986E+01
DCV,2.0506050587,6.1789805E+01
DCV,2.0662050247,6.1789986E+01
DCV,2.0820798874,6.1789505E+01
DCV,2.1047370434,6.1788933E+01
DCV,2.1198539734,6.1789896E+01
DCV,2.1429369450,6.1789896E+01
DCV,2.1584119797,6.1789384E+01
DCV,2.1739139557,6.1789474E+01
DCV,2.1967439651,6.1789896E+01
DCV,2.2118449211,6.1790257E+01
DCV,2.2273130417,6.1790227E+01
DCV,2.2502999306,6.1790257E+01
DCV,2.2657809258,6.1790317E+01
DCV,2.2884049416,6.1789655E+01
DCV,2.3039190769,6.1789805E+01
DCV,2.3193819523,6.1790227E+01
DCV,2.3420619965,6.1789805E+01
DCV,2.3578429222,6.1789565E+01
DCV,2.3732120991,6.1789745E+01
DCV,2.3958449364,6.1790076E+01
DCV,2.4115660191,6.1789926E+01
DCV,2.4340219498,6.1789745E+01
DCV,2.4494709969,6.1789173E+01
DCV,2.4650619030,6.1788602E+01
DCV,2.4878509045,6.1789414E+01
DCV,2.5032200813,6.1789926E+01
DCV,2.5258738995,6.1789234E+01
DCV,2.5413460732,6.1789354E+01
DCV,2.5566899776,6.1790106E+01
DCV,2.5796589851,6.1790618E+01
DCV,2.5949900150,6.1790016E+01
DCV,2.6176590919,6.1789505E+01
DCV,2.6331229210,6.1789775E+01
DCV,2.6487219334,6.1790257E+01
DCV,2.6716849804,6.1789354E+01
DCV,2.6868228912,6.1789294E+01
DCV,2.7091560364,6.1790076E+01
DCV,2.7247989178,6.1790287E+01
DCV,2.7405459881,6.1789715E+01
DCV,2.7631819248,6.1789414E+01
DCV,2.7785000801,6.1789625E+01
DCV,2.7935400009,6.1790227E+01
DCV,2.8163321018,6.1789926E+01
DCV,2.8322439194,6.1789294E+01
DCV,2.8548979759,6.1789204E+01
DCV,2.8700110912,6.1789444E+01
DCV,2.8852639198,6.1789414E+01
DCV,2.9083929062,6.1789595E+01
DCV,2.9238491058,6.1790558E+01
DCV,2.9464850426,6.1791190E+01
DCV,2.9615240097,6.1790287E+01
DCV,2.9765160084,6.1790016E+01
DCV,2.9994890690,6.1789805E+01
DCV,3.0148849487,6.1790046E+01
DCV,3.0372750759,6.1789625E+01
DCV,3.0525190830,6.1789956E+01
DCV,3.0751531124,6.1790558E+01
DCV,3.0908870697,6.1790498E+01
DCV,3.1064720154,6.1790167E+01
DCV,3.1288399696,6.1789956E+01
DCV,3.1438539028,6.1790227E+01
DCV,3.1593511105,6.1790437E+01
DCV,3.1825370789,6.1790287E+01
DCV,3.1979739666,6.1789986E+01
DCV,3.2205450535,6.1789986E+01
DCV,3.2355880737,6.1789565E+01
DCV,3.2510330677,6.1789324E+01
DCV,3.2743339539,6.1789023E+01
DCV,3.2896840572,6.1789535E+01
DCV,3.3122460842,6.1789866E+01
DCV,3.3274030685,6.1790528E+01
DCV,3.3428959846,6.1790769E+01
DCV,3.3662159443,6.1789986E+01
DCV,3.3815879822,6.1789625E+01
DCV,3.4039409161,6.1789474E+01
DCV,3.4194779396,6.1789805E+01
DCV,3.4348859787,6.1789926E+01
DCV,3.4577589035,6.1789083E+01
DCV,3.4733500481,6.1790287E+01
DCV,3.4884541035,6.1790016E+01
DCV,3.5111351013,6.1789805E+01
DCV,3.5267400742,6.1789896E+01
DCV,3.5496039391,6.1790137E+01
DCV,3.5649659634,6.1790137E+01
DCV,3.5803220272,6.1789745E+01
DCV,3.6030499935,6.1789173E+01
DCV,3.6184020042,6.1789264E+01
DCV,3.6414039135,6.1789023E+01
DCV,3.6567630768,6.1789143E+01
DCV,3.6721210480,6.1789896E+01
DCV,3.6951100826,6.1790167E+01
DCV,3.7102260590,6.1790588E+01
DCV,3.7329759598,6.1790197E+01
DCV,3.7485489845,6.1789896E+01
DCV,3.7640290260,6.1789685E+01
DCV,3.7866320610,6.1790137E+01
DCV,3.8019421101,6.1789926E+01
DCV,3.8247139454,6.1789505E+01
DCV,3.8403201103,6.1790076E+01
DCV,3.8561549187,6.1790046E+01
DCV,3.8787291050,6.1789414E+01
DCV,3.8938529491,6.1789986E+01
DCV,3.9094309807,6.1790167E+01
DCV,3.9325389862,6.1789625E+01
DCV,3.9480249882,6.1789535E+01
DCV,3.9706249237,6.1790197E+01
DCV,3.9856600761,6.1790016E+01
DCV,4.0010142326,6.1789655E+01
DCV,4.0244941711,6.1789414E+01
DCV,4.0398421288,6.1789414E+01
DCV,4.0549302101,6.1789505E+01
DCV,4.0774512291,6.1789896E+01
DCV,4.0928859711,6.1789505E+01
DCV,4.1161217690,6.1789625E+01
DCV,4.1314568520,6.1789234E+01
DCV,4.1465520859,6.1789173E+01
DCV,4.1690611839,6.1789926E+01
DCV,4.1844630241,6.1789745E+01
DCV,4.2071790695,6.1789264E+01
DCV,4.2225551605,6.1789414E+01
DCV,4.2449011803,6.1790106E+01
DCV,4.2599067688,6.1790167E+01
DCV,4.2757167816,6.1789535E+01
DCV,4.2984337807,6.1790016E+01
DCV,4.3135499954,6.1790197E+01
DCV,4.3360538483,6.1789775E+01
DCV,4.3512358665,6.1789896E+01
DCV,4.3670120239,6.1789625E+01
DCV,4.3901228905,6.1789775E+01
DCV,4.4054050446,6.1789655E+01
DCV,4.4278039932,6.1789745E+01
DCV,4.4462671280,6.1790046E+01
DCV,4.4619631767,6.1790167E+01
DCV,4.4773769379,6.1790137E+01
DCV,4.4999952316,6.1789625E+01
DCV,4.5150542259,6.1789926E+01
DCV,4.5306029320,6.1789836E+01
DCV,4.5538659096,6.1789444E+01
DCV,4.5692009926,6.1789505E+01
DCV,4.5915298462,6.1790197E+01
DCV,4.6069178581,6.1790287E+01
DCV,4.6225371361,6.1789565E+01
DCV,4.6455512047,6.1789956E+01
DCV,4.6611118317,6.1791039E+01
DCV,4.6834740639,6.1790437E+01
DCV,4.6989312172,6.1789625E+01
DCV,4.7146320343,6.1790437E+01
DCV,4.7374639511,6.1790227E+01
DCV,4.7528390884,6.1790137E+01
DCV,4.7681498528,6.1790377E+01
DCV,4.7908577919,6.1790167E+01
DCV,4.8062877655,6.1790106E+01
DCV,4.8293628693,6.1790227E+01
DCV,4.8447160721,6.1790498E+01
DCV,4.8597941399,6.1790377E+01
DCV,4.8826937675,6.1790437E+01
DCV,4.8980860710,6.1790106E+01
DCV,4.9210658073,6.1789204E+01
DCV,4.9364190102,6.1789745E+01
DCV,4.9517741203,6.1790076E+01
DCV,4.9747061729,6.1790347E+01
DCV,4.9899120331,6.1790257E+01
DCV,5.0126628876,6.1789805E+01
DCV,5.0282177925,6.1789655E+01
DCV,5.0437078476,6.1789474E+01
DCV,5.0663170815,6.1789354E+01
DCV,5.0817031860,6.1789745E+01
DCV,5.0971550941,6.1789625E+01
DCV,5.1200418472,6.1789805E+01
DCV,5.1358752251,6.1789805E+01
DCV,5.1583671570,6.1789926E+01
DCV,5.1734781265,6.1789715E+01
DCV,5.1891078949,6.1789715E+01
DCV,5.2121782303,6.1789956E+01
DCV,5.2276368141,6.1790407E+01
DCV,5.2502450943,6.1790468E+01
DCV,5.2653570175,6.1789685E+01
DCV,5.2807750702,6.1789866E+01
DCV,5.3040342331,6.1790016E+01
DCV,5.3193769455,6.1789745E+01
DCV,5.3417110443,6.1789805E+01
DCV,5.3569979668,6.1789836E+01
DCV,5.3725252151,6.1789896E+01
DCV,5.3956089020,6.1790648E+01
DCV,5.4111452103,6.1790468E+01
DCV,5.4262552261,6.1790648E+01
DCV,5.4485878944,6.1789956E+01
DCV,5.4643077850,6.1789896E+01
DCV,5.4870181084,6.1789745E+01
DCV,5.5021300316,6.1789625E+01
DCV,5.5246219635,6.1789986E+01
DCV,5.5397081375,6.1790227E+01
DCV,5.5552468300,6.1789926E+01
DCV,5.5781741142,6.1790377E+01
DCV,5.5932922363,6.1790227E+01
DCV,5.6157698631,6.1790437E+01
DCV,5.6308307648,6.1790257E+01
DCV,5.6462640762,6.1790287E+01
DCV,5.6691322327,6.1789535E+01
DCV,5.6842589378,6.1789625E+01
DCV,5.7065877914,6.1790197E+01
DCV,5.7222690582,6.1790618E+01
DCV,5.7380962372,6.1790618E+01
DCV,5.7607111931,6.1790347E+01
DCV,5.7760281563,6.1790468E+01
DCV,5.7983288765,6.1790498E+01
DCV,5.8137698174,6.1790618E+01
DCV,5.8296751976,6.1790347E+01
DCV,5.8522758484,6.1790558E+01
DCV,5.8673901558,6.1790046E+01
DCV,5.8901848793,6.1790016E+01
DCV,5.9057559967,6.1790528E+01
DCV,5.9213099480,6.1790437E+01
DCV,5.9441609383,6.1790558E+01
DCV,5.9592437744,6.1791100E+01
DCV,5.9819931984,6.1790528E+01
DCV,5.9977421761,6.1790197E+01
DCV,6.0132389069,6.1790106E+01
DCV,6.0358700752,6.1790618E+01
DCV,6.0511951447,6.1790347E+01
DCV,6.0666360855,6.1789595E+01
DCV,6.0893712044,6.1789745E+01
DCV,6.1050300598,6.1790016E+01
DCV,6.1276388168,6.1789896E+01
DCV,6.1427450180,6.1790106E+01
DCV,6.1585922241,6.1790528E+01
DCV,6.1812510490,6.1790197E+01
DCV,6.1967377663,6.1790137E+01
DCV,6.2123308182,6.1789535E+01
DCV,6.2350430489,6.1789625E+01
DCV,6.2504639626,6.1789715E+01
DCV,6.2731361389,6.1789324E+01
DCV,6.2886080742,6.1789775E+01
DCV,6.3039817810,6.1790588E+01
DCV,6.3269510269,6.1790377E+01
DCV,6.3423361778,6.1790377E+01
DCV,6.3650341034,6.1789685E+01
DCV,6.3823590279,6.1789234E+01
DCV,6.3979620934,6.1789414E+01
DCV,6.4135370255,6.1789354E+01
DCV,6.4363842010,6.1789625E+01
DCV,6.4515471458,6.1790197E+01
DCV,6.4744491577,6.1790167E+01
DCV,6.4900398254,6.1790137E+01
DCV,6.5054559708,6.1789836E+01
DCV,6.5280728340,6.1790227E+01
DCV,6.5431971550,6.1790197E+01
DCV,6.5658922195,6.1790016E+01
DCV,6.5817918777,6.1789926E+01
DCV,6.5971307755,6.1790468E+01
DCV,6.6194791794,6.1790347E+01
DCV,6.6347799301,6.1790437E+01
DCV,6.6577072144,6.1790407E+01
DCV,6.6731672287,6.1790618E+01
DCV,6.6885437965,6.1790227E+01
DCV,6.7108840942,6.1789896E+01
DCV,6.7259640694,6.1790528E+01
DCV,6.7492341995,6.1790588E+01
DCV,6.7647218704,6.1789655E+01
DCV,6.7798562050,6.1789685E+01
