Mode,Time(s),Value
DCV,2.9087181091,6.1697082E+01
DCV,2.9310109615,6.1697714E+01
DCV,2.9468510151,6.1698316E+01
DCV,2.9626750946,6.1699279E+01
DCV,2.9853539467,6.1698617E+01
DCV,3.0006840229,6.1698737E+01
DCV,3.0157349110,6.1700362E+01
DCV,3.0387320518,6.1700151E+01
DCV,3.0546770096,6.1699188E+01
DCV,3.0773739815,6.1699339E+01
DCV,3.0925319195,6.1698135E+01
DCV,3.1080970764,6.1696961E+01
DCV,3.1313109398,6.1697744E+01
DCV,3.1466629505,6.1698496E+01
DCV,3.1619839668,6.1699249E+01
DCV,3.1842861176,6.1700573E+01
DCV,3.1996541023,6.1700151E+01
DCV,3.2229681015,6.1699188E+01
DCV,3.2385790348,6.1699850E+01
DCV,3.2540009022,6.1699610E+01
DCV,3.2768180370,6.1697864E+01
DCV,3.2923109531,6.1697533E+01
DCV,3.3300778866,6.1697262E+01
DCV,3.3454170227,6.1699489E+01
DCV,3.3680551052,6.1699249E+01
DCV,3.3839130402,6.1699098E+01
DCV,3.3995540142,6.1699309E+01
DCV,3.4224820137,6.1698376E+01
DCV,3.4380400181,6.1698767E+01
DCV,3.4607861042,6.1699911E+01
DCV,3.4764590263,6.1698526E+01
DCV,3.4921059608,6.1697684E+01
DCV,3.5144889355,6.1697142E+01
DCV,3.5295228958,6.1698316E+01
DCV,3.5524370670,6.1699098E+01
DCV,3.5679750443,6.1698466E+01
DCV,3.5835359097,6.1699519E+01
DCV,3.6064510345,6.1700513E+01
DCV,3.6218459606,6.1700272E+01
DCV,3.6372919083,6.1698346E+01
DCV,3.6601679325,6.1697684E+01
DCV,3.6756920815,6.1696931E+01
DCV,3.6986260414,6.1697653E+01
DCV,3.7141330242,6.1699459E+01
DCV,3.7294600010,6.1699279E+01
DCV,3.7522289753,6.1698105E+01
DCV,3.7678060532,6.1698556E+01
DCV,3.7907691002,6.1698948E+01
DCV,3.8065629005,6.1699429E+01
DCV,3.8218269348,6.1699249E+01
DCV,3.8446118832,6.1698135E+01
DCV,3.8601889610,6.1698466E+01
DCV,3.8755590916,6.1697623E+01
DCV,3.8984150887,6.1697924E+01
DCV,3.9139509201,6.1699519E+01
DCV,3.9367449284,6.1699760E+01
DCV,3.9523520470,6.1700091E+01
DCV,3.9683139324,6.1700603E+01
DCV,3.9909949303,6.1700031E+01
DCV,4.0061001778,6.1699730E+01
DCV,4.0215549469,6.1698917E+01
DCV,4.0444431305,6.1698346E+01
DCV,4.0601072311,6.1698285E+01
DCV,4.0830721855,6.1698617E+01
DCV,4.0981950760,6.1698526E+01
DCV,4.1134052277,6.1698466E+01
DCV,4.1366438866,6.1699128E+01
DCV,4.1520881653,6.1699369E+01
DCV,4.1891832352,6.1700874E+01
DCV,4.2044191360,6.1699640E+01
DCV,4.2273340225,6.1697533E+01
DCV,4.2429709435,6.1697202E+01
DCV,4.2653751373,6.1697473E+01
DCV,4.2804107666,6.1699038E+01
DCV,4.2958168983,6.1698827E+01
DCV,4.3187189102,6.1699459E+01
DCV,4.3345618248,6.1700272E+01
DCV,4.3501720428,6.1700302E+01
DCV,4.3725399971,6.1700904E+01
DCV,4.3932828903,6.1699218E+01
DCV,4.4090600014,6.1697262E+01
DCV,4.4244527817,6.1697623E+01
DCV,4.4470372200,6.1696269E+01
DCV,4.4621191025,6.1695697E+01
DCV,4.4848828316,6.1698466E+01
DCV,4.5004739761,6.1698887E+01
DCV,4.5155577660,6.1698917E+01
DCV,4.5378289223,6.1699850E+01
DCV,4.5530037880,6.1699941E+01
DCV,4.5760869980,6.1699429E+01
DCV,4.5917491913,6.1698466E+01
DCV,4.6073288918,6.1697684E+01
DCV,4.6297268867,6.1696781E+01
DCV,4.6449780464,6.1697473E+01
DCV,4.6684589386,6.1698647E+01
DCV,4.6841230392,6.1698737E+01
DCV,4.6994719505,6.1698797E+01
DCV,4.7220377922,6.1699008E+01
DCV,4.7375512123,6.1699158E+01
DCV,4.7533030510,6.1700001E+01
DCV,4.7761588097,6.1699098E+01
DCV,4.7912721634,6.1697774E+01
DCV,4.8135328293,6.1696931E+01
DCV,4.8323321342,6.1697894E+01
DCV,4.8480100632,6.1699459E+01
DCV,4.8635349274,6.1699881E+01
DCV,4.8861742020,6.1699640E+01
DCV,4.9015269279,6.1698376E+01
DCV,4.9171900749,6.1698255E+01
DCV,4.9406490326,6.1699068E+01
DCV,4.9560880661,6.1700001E+01
DCV,4.9784369469,6.1700031E+01
DCV,4.9941678047,6.1699429E+01
DCV,5.0098748207,6.1699098E+01
DCV,5.0325689316,6.1699068E+01
DCV,5.0479078293,6.1699760E+01
DCV,5.0702781677,6.1700513E+01
DCV,5.0857892036,6.1561532E+01
DCV,5.1015591621,6.1322575E+01
DCV,5.1245169640,6.1121839E+01
DCV,5.1398649216,6.0960166E+01
DCV,5.1552171707,6.0796177E+01
DCV,5.1779828072,6.0634023E+01
DCV,5.1935200691,6.0472531E+01
DCV,5.2166528702,6.0310046E+01
DCV,5.2319979668,6.0147230E+01
DCV,5.2473697662,5.9984685E+01
DCV,5.2703409195,5.9822591E+01
DCV,5.2856588364,5.9520043E+01
DCV,5.3011698723,5.9128351E+01
