Mode,Time(s),Value
DCV,0.0004770000,6.0742246E+01
DCV,0.0237739999,6.0742125E+01
DCV,0.0396470018,6.0741734E+01
DCV,0.0550730005,6.0741704E+01
DCV,0.0774430037,6.0742005E+01
DCV,0.0927679986,6.0741855E+01
DCV,0.1154550016,6.0741885E+01
DCV,0.1311170012,6.0742757E+01
DCV,0.1467020065,6.0742396E+01
DCV,0.1690579951,6.0742246E+01
DCV,0.1841630042,6.0742697E+01
DCV,0.2072349936,6.0742125E+01
DCV,0.2226739973,6.0741824E+01
DCV,0.2377880067,6.0741644E+01
DCV,0.2602899969,6.0741824E+01
DCV,0.2753660083,6.0742186E+01
DCV,0.2987230122,6.0742577E+01
DCV,0.3142549992,6.0742125E+01
DCV,0.3294430077,6.0742005E+01
DCV,0.3519600034,6.0741554E+01
DCV,0.3671419919,6.0741584E+01
DCV,0.3900550008,6.0742366E+01
DCV,0.4056439996,6.0742456E+01
DCV,0.4207609892,6.0742065E+01
DCV,0.4430580139,6.0741644E+01
DCV,0.4583190084,6.0742065E+01
DCV,0.4810639918,6.0741824E+01
DCV,0.4964120090,6.0741734E+01
DCV,0.5189880133,6.0741915E+01
DCV,0.5339909792,6.0741373E+01
DCV,0.5493010283,6.0741012E+01
DCV,0.5725160241,6.0741734E+01
DCV,0.5878580213,6.0741824E+01
DCV,0.6102200150,6.0741704E+01
DCV,0.6254330277,6.0741674E+01
DCV,0.6408900023,6.0742246E+01
DCV,0.6638470292,6.0741855E+01
DCV,0.6794890165,6.0741824E+01
DCV,0.7019029856,6.0741855E+01
DCV,0.7172020078,6.0742456E+01
DCV,0.7330819964,6.0742366E+01
DCV,0.7560170293,6.0741945E+01
DCV,0.7713509798,6.0741885E+01
DCV,0.7866730094,6.0741463E+01
DCV,0.8094649911,6.0741313E+01
DCV,0.8249379992,6.0741192E+01
DCV,0.8478980064,6.0741042E+01
DCV,0.8632590175,6.0741764E+01
DCV,0.8783209920,6.0742246E+01
DCV,0.9013640285,6.0742396E+01
DCV,0.9167659879,6.0742155E+01
DCV,0.9397510290,6.0741554E+01
DCV,0.9550889730,6.0741523E+01
DCV,0.9701750278,6.0741433E+01
DCV,0.9932940006,6.0741584E+01
DCV,1.0086959600,6.0741975E+01
DCV,1.0241570473,6.0741885E+01
DCV,1.0469880104,6.0741734E+01
DCV,1.0623539686,6.0742216E+01
DCV,1.0850640535,6.0742336E+01
DCV,1.1004559994,6.0741945E+01
DCV,1.1159420013,6.0741975E+01
DCV,1.1385760307,6.0742005E+01
DCV,1.1542739868,6.0741674E+01
DCV,1.1768870354,6.0741373E+01
DCV,1.1920510530,6.0741975E+01
DCV,1.2077579498,6.0741794E+01
DCV,1.2306610346,6.0741824E+01
DCV,1.2460939884,6.0742577E+01
DCV,1.2687020302,6.0742547E+01
DCV,1.2837810516,6.0742216E+01
DCV,1.2991880178,6.0742396E+01
DCV,1.3225879669,6.0741915E+01
DCV,1.3379700184,6.0741554E+01
DCV,1.3530859947,6.0741945E+01
DCV,1.3756560087,6.0741794E+01
DCV,1.3910779953,6.0742487E+01
DCV,1.4141609669,6.0742848E+01
DCV,1.4297460318,6.0741584E+01
DCV,1.4448469877,6.0741614E+01
DCV,1.4671579599,6.0742155E+01
