freq,offset,resistance,theta
0.1,-2,0.00941438913697452,-0.13027406041442446
0.1492299737992774,-2,0.009320107558207617,-0.10699207261466226
0.22269585080133017,-2,0.009083781562060226,-0.08629200487247557
0.3323289598029029,-2,0.009035254193930406,-0.06604299666448554
0.49593441964128304,-2,0.008813165347396632,-0.0544645019241794
0.7400828044922851,-2,0.008809881345741953,-0.043368282086502674
1.1044253752367945,-2,0.008730208365295885,-0.034151893820440704
1.6481336980984396,-2,0.008732449812131485,-0.027981893587244455
2.459509485849363,-2,0.008707046714591014,-0.023534906288643187
3.6703253613237465,-2,0.008668714471677358,-0.02500255305784016
5.477225575051659,-2,0.008618190243047896,-0.02310345955970039
8.173662290576912,-2,0.00858942308469983,-0.031578483248748235
12.197554094669341,-2,0.008579081115131545,-0.03321103215660794
18.20240677962775,-2,0.008525215984585761,-0.05295465992421766
27.16344686807639,-2,0.008352212379849861,-0.05882043864203279
40.53600464421105,-2,0.008252116547595618,-0.07914099464117885
60.49186910983003,-2,0.008046540116934472,-0.0989719476037787
90.27200042329255,-2,0.007840841355652686,-0.11047723847183574
134.7128825797631,-2,0.007548469854572858,-0.12602774949807394
201.03199937803183,-2,0.007291588633179891,-0.12507411806322366
