freq,resistance,theta
9.999999999999998,0.003826796764245895,0.007138366735587237
19.512323996468886,0.0038111088485164456,0.0148263863501783
38.07307877431757,0.00376343500613934,0.01343728841891112
74.28942485875675,0.0037275914891472714,0.005439517460108512
144.95593273553922,0.0037112598447462852,-0.012260730947252885
282.84271247461913,0.0037149918030323944,6.250758402597885
551.8918645844859,0.0037242826789240326,-0.06911918247223392
1076.8692872787822,0.003768476656600604,-0.13656340547264462
2101.2222435230124,0.0038722075709468383,-0.256236755094622
4099.972920420826,0.004293987376529699,-0.4653416169564487
7999.99999999999,0.005528024991450334,-0.7335544865314368
