freq,offset,resistance,theta
0.1,0,0.010073756173475711,-0.002194605853446663
0.1492299737992774,0,0.010103889819745483,0.004143357334854825
0.22269585080133017,0,0.010057343414371358,-0.001609091626711412
0.3323289598029029,0,0.010103100277260024,0.0003599822808417752
0.49593441964128304,0,0.010116281908363361,0.0018990685300002141
0.7400828044922851,0,0.010081524777699502,0.004039428741280604
1.1044253752367945,0,0.010129783852257488,0.003264248692661287
1.6481336980984396,0,0.010087699253123117,0.0010085349141648603
2.459509485849363,0,0.010107260204142368,0.001513386922717297
3.6703253613237465,0,0.01010884762433187,0.002225793307753854
5.477225575051659,0,0.010087352727760178,0.00026978417111789277
8.173662290576912,0,0.010105673863026122,-2.3019044177452486e-05
12.197554094669341,0,0.010096227544825299,0.006483624455054793
18.20240677962775,0,0.01005532962740163,-0.002918321853977446
27.16344686807639,0,0.010218144251070977,6.691091079569222e-05
40.53600464421105,0,0.010091167220929325,0.00029051689464859587
60.49186910983003,0,0.010089862985841762,-0.00015941445493217188
90.27200042329255,0,0.010099673671557558,-0.004153566078533899
134.7128825797631,0,0.010070312788295921,-0.0011171433962195998
201.03199937803183,0,0.010059539701569697,-0.0022459445917832888

