resistance,theta
0.9585980880747321,6.250367211022632
0.9607640760802785,-6.234668318507406
0.9453289386412608,-6.248707742383745
0.9048979462850344,6.245072586875913
0.8919751645720917,6.272271104104421
0.9221489070959904,0.0071281290680391685
0.9110102710205839,0.0165088710691923
0.9215447643508041,6.276092364895126
0.9010872876386843,-0.011630273712736283
0.9285475003326678,6.252309560247463
0.8965302433245481,6.245510013116771
0.9178087538420153,0.013813927304011209
0.8979360668097541,-0.00884542707324032
1.0187532773843424,-0.019068518750828378
0.9886450199920984,-0.03811001557442939
0.9472639188249005,0.02738944048094627
0.9718582151117021,-0.012232932904242766
0.9770044025941146,-0.014434348688781906
0.9497134457824228,6.257856145503128
1.004670397831806,-0.03490115345581035
0.8912723065948757,-0.03565053939434604
0.9542050862064209,-0.03469083103740367
0.9479039877487405,-0.04847766117148389
0.9081055345595974,-0.13901555899722862
0.9365028303518875,-0.10006844190154407
0.9395265539748686,-0.07957657281866926
0.9288505656087362,-0.09080920310185814
0.9324841820639158,-0.12231156747078664
0.9450459787134499,-0.12925365416760437
0.9453945449004106,-0.14990120764251236
0.9232046107776583,-0.1854392773818967
0.9676595119508649,-0.19423773503386554
0.9706983531885666,-0.2269325835557705
1.018165684701295,-0.24634902850277518
1.0118238561822315,-0.26159726129351313
1.0761667539795958,-0.2934903285725854
1.0763378973334499,-0.32039817117609104
1.0927882535005304,-0.35401452118622956
1.1610772685939297,-0.36716434323753067
1.2085246052802978,-0.40009778629609816
1.2836401037638006,-0.41761719426469224
1.3502078672024596,-0.44927647452178165
1.4325893321284502,-0.44042187216455186
1.482647141508338,-0.425931989725711
1.5861652285995567,-0.42581147048211987
1.6142672253027637,-0.4343797330151591
1.6953163854207969,-0.43166944284751674
1.7635258181821816,-0.43100650294861786
1.806715711176298,-0.4334768556246602
1.873265746458385,-0.4144219442763868
1.9208571941857835,-0.41559723316662556
1.9837055651030564,-0.41513292795061973
2.0251408984285604,-0.41747522052274544
2.082621555255692,-0.4312115809961421
2.1366067242892735,-0.44604945929649986
2.191544110381314,5.810579244469357
