freq,offset,resistance,theta
0.1,0,0.009472426954876784,-0.14843844455188954
0.1492299737992774,0,0.009250408778560351,-0.112439818493824
0.22269585080133017,0,0.009066040236726603,-0.09271339720245192
0.3323289598029029,0,0.008934477616154292,-0.07125575309684296
0.49593441964128304,0,0.008837847535803134,-0.055629847910943386
0.7400828044922851,0,0.008746756227308779,-0.04500213221762284
1.1044253752367945,0,0.008640770035353372,-0.037067877767241963
1.6481336980984396,0,0.008643200623208216,-0.02993601855470529
2.459509485849363,0,0.008606337043346637,-0.02598585676733145
3.6703253613237465,0,0.008569797727785827,-0.028164760541787626
5.477225575051659,0,0.008530785132937523,-0.028891700806517928
8.173662290576912,0,0.008510380205728944,-0.03349930468991902
12.197554094669341,0,0.008441029897706714,-0.04022476643826034
18.20240677962775,0,0.008403503101145324,-0.05010923496079123
27.16344686807639,0,0.00833705321145345,-0.0656996678884807
40.53600464421105,0,0.008160667284963775,-0.08320313385297007
60.49186910983003,0,0.007935073785528867,-0.09571873034047229
90.27200042329255,0,0.00770066238151981,-0.10824142641633205
134.7128825797631,0,0.007457544070520268,-0.1180689756936415
201.03199937803183,0,0.007182477226267031,-0.12137736754025097
