freq,offset,resistance,theta
0.1,0,0.0037633528771151377,0.00021361311028700314
0.1492299737992774,0,0.0037821217059127725,0.0013847244760007982
0.22269585080133017,0,0.003762482984826626,0.0014232880032263306
0.3323289598029029,0,0.0037905626653645676,0.0011984977909204053
0.49593441964128304,0,0.003792150548730312,-0.002938327378595673
0.7400828044922851,0,0.0037684059814034982,-0.007876768946293078
1.1044253752367945,0,0.0037699063652128217,-3.705706153156463e-05
1.6481336980984396,0,0.0037786715156866634,-0.0020234246375678833
2.459509485849363,0,0.003781483768301572,-0.0022003511168466883
3.6703253613237465,0,0.0037590315765170285,-0.015699215239775466
5.477225575051659,0,0.003811565656569368,-0.004460140480481378
8.173662290576912,0,0.003745131778355369,-0.007438377714760636
12.197554094669341,0,0.0037790975613429595,-0.010381930896596893
18.20240677962775,0,0.0037330222775712753,-0.014233304358783894
27.16344686807639,0,0.0037012508586249837,-0.003783227376013887
40.53600464421105,0,0.0036944212125569753,-0.010602430887800109
60.49186910983003,0,0.003676633917177541,-0.007514724225438751
90.27200042329255,0,0.0037153573490775298,-0.0028926102713128787
134.7128825797631,0,0.003664523190144818,0.013423025424365298
201.03199937803183,0,0.003706318568563429,0.02407948400019455

