resistance,theta
0.005064668873471324,0.03873704464096023
0.0050388999775626084,0.03190937169253516
0.004965808840233953,0.0314410826098202
0.004973723520905397,0.03413993482276734
0.0049472826650974215,0.03501555333311229
0.00494195386229437,0.03705302396361487
0.004918696430020239,0.04089970647078389
0.004915133247665249,0.038822732589272047
0.004842195049835377,0.049552921336805555
0.004870645376250617,0.05310458136002927
0.0048024263038589,0.075479811955117
0.004773472401870549,0.07717367602687986
0.004693787739460528,0.08607358265225806
0.004598624944854496,0.1105690230922367
0.004506766795065653,0.11981343260520878
0.004410059156914608,0.14439865791777318
0.004249399125344432,0.14848503599069285
0.0041148446333477565,0.15707870949017289
0.003992517864624699,0.16708088711168123
0.0038295031693189353,0.1690073233914724
0.0036995064234610596,0.1662650223598241
0.0035668070294084062,0.16017804498158128
0.0034449096961939986,0.14833458191894033
0.0033167502005827937,0.1296660082922162
0.0032144263964998185,0.10730070843603157
