Time,Voltage,Current,Total mAh
0.03949332237243652,3.879374,3.879384,0.5388033333333333
0.5348217487335205,3.874573,3.874594,1.0769413888888888
1.0326800346374512,3.870555,3.870555,1.6145184722222221
1.5321989059448242,3.865827,3.866276,2.15150125
2.03186297416687,3.862351,3.862435,2.6879505555555556
2.534027099609375,3.858385,3.858479,3.2238504166666666
3.0514976978302,3.854795,3.855317,3.759311111111111
3.5565786361694336,3.852186,3.851622,4.294258611111111
4.032451629638672,3.849086,3.849096,4.828855277777778
4.5304179191589355,3.845579,3.846018,5.363024444444444
5.034313917160034,3.843367,3.843481,5.89684125
5.532341480255127,3.840611,3.840444,6.43023625
6.030789136886597,3.838346,3.838065,6.963300833333333
6.537029266357422,3.835768,3.835821,7.49605375
7.03734278678894,3.833535,3.833817,8.028528333333334
7.5292932987213135,3.831385,3.831604,8.560695555555556
8.036319732666016,3.829078,3.829329,9.092546805555557
8.529361486434937,3.827033,3.826772,9.624042916666667
9.034317016601562,3.825665,3.825645,10.1553825
9.559112310409546,3.823495,3.823526,10.686427777777778
10.055877208709717,3.82171,3.821981,11.217258472222223
10.529331922531128,3.819476,3.819424,11.74773402777778
11.032866716384888,3.818213,3.81837,12.278063194444446
11.531094551086426,3.81621,3.816345,12.808111111111113
12.031829357147217,3.815062,3.81502,13.337975000000002
12.529137372970581,3.812797,3.813016,13.867560555555558
13.039557218551636,3.811816,3.811743,14.396969305555558
13.543421506881714,3.809864,3.809801,14.926108333333335
14.03060793876648,3.809102,3.809165,15.45515902777778
14.528657674789429,3.806921,3.807067,15.983918333333335
15.033284425735474,3.805919,3.806013,16.512531250000002
15.531852960586548,3.804259,3.804249,17.04089916666667
16.04042649269104,3.802965,3.80307,17.569103333333334
16.546295642852783,3.801546,3.801222,18.097050833333334
17.03425693511963,3.800606,3.800659,18.62492013888889
17.52786684036255,3.798822,3.798707,19.152518333333333
18.029221773147583,3.798008,3.797997,19.680017916666667
18.531940937042236,3.796296,3.796484,20.207307361111113
19.031867027282715,3.795576,3.795555,20.73446777777778
19.55587410926819,3.794167,3.793655,21.26136430555556
20.059711694717407,3.79257,3.792946,21.788162361111116
20.528703689575195,3.791432,3.791411,22.314747222222227
21.031476736068726,3.790702,3.790775,22.841243750000004
21.530410289764404,3.78898,3.789094,23.36750680555556
22.030379056930542,3.788322,3.788312,23.893661250000005
22.532570123672485,3.786548,3.786631,24.41958222222223
23.04358673095703,3.78564,3.785776,24.94538444444445
23.564533710479736,3.784461,3.784158,25.47096194444445
24.03013515472412,3.783354,3.783271,25.996416250000006
24.53030776977539,3.78159,3.78158,26.521635694444452
25.03327250480652,3.781016,3.781069,27.046784166666676
25.531998872756958,3.779555,3.779534,27.571719444444454
26.033203601837158,3.779357,3.779346,28.09662861111112
26.54169464111328,3.778219,3.777927,28.621340694444456
27.03781771659851,3.777489,3.777583,29.14600500000001
27.52970314025879,3.775871,3.776038,29.67045472222223
28.02703619003296,3.775454,3.775579,30.194840694444455
28.5308358669281,3.774222,3.774431,30.719067222222233
29.028730630874634,3.774045,3.774045,31.2432401388889
29.555712699890137,3.773001,3.772688,31.767224583333345
30.055336236953735,3.772145,3.772333,32.29115972222223
30.530718326568604,3.771185,3.771519,32.81498180555557
31.02835178375244,3.77106,3.770934,33.3387226388889
31.531654596328735,3.770037,3.769922,33.862322916666685
32.02982687950134,3.769943,3.769755,34.38590000000002
32.54054498672485,3.768847,3.768628,34.909320555555574
33.05079245567322,3.767949,3.768398,35.43270916666668
33.530303955078125,3.767427,3.767594,35.95598611111113
34.03057837486267,3.767396,3.767657,36.47927180555558
34.53012275695801,3.766697,3.766415,37.00238500000002
35.02879881858826,3.766279,3.76654,37.52551555555557
35.532137870788574,3.765538,3.765371,38.04848375000002
36.051828384399414,3.764912,3.765538,38.57147513888891
36.56375002861023,3.764954,3.764463,39.09431722222224
37.032869815826416,3.764244,3.764557,39.61717236111112
37.53026533126831,3.763545,3.76367,40.13990430555557
38.03285241127014,3.763712,3.763628,40.66263041666668
38.53186917304993,3.762814,3.762606,41.18521458333335
39.032918214797974,3.76246,3.762741,41.70781750000001
39.54383969306946,3.761917,3.761719,42.23027847222223
40.06043291091919,3.761071,3.761604,42.75272347222223
40.534456729888916,3.76057,3.760654,43.275036527777786
41.032026290893555,3.760675,3.760748,43.7973626388889
41.53442430496216,3.75984,3.759746,44.31954958333334
42.033202171325684,3.759965,3.759829,44.84174805555556
42.53180384635925,3.758953,3.75888,45.36381472222223
43.03889751434326,3.758848,3.759036,45.885903055555566
43.53733825683594,3.758139,3.758013,46.407849305555565
44.031882524490356,3.757878,3.758107,46.92980861111112
44.53343152999878,3.757512,3.757366,47.45166500000001
45.027366161346436,3.757439,3.757669,47.97356347222223
45.52857327461243,3.756625,3.756771,48.49533722222223
46.06284165382385,3.755989,3.756782,49.01711250000001
46.55645489692688,3.756385,3.75602,49.53878194444445
47.031606674194336,3.755936,3.755916,50.060436944444454
47.533769845962524,3.755112,3.75507,50.581974444444455
48.03084182739258,3.755268,3.755289,51.103542361111124
48.531378746032715,3.754475,3.754632,51.62501902777779
49.04166507720947,3.754559,3.754569,52.146486944444455
49.55058574676514,3.754465,3.753995,52.6678751388889
50.033804178237915,3.754016,3.754339,53.189311111111124
50.52799725532532,3.75315,3.753181,53.71058625000001
51.03038787841797,3.753525,3.753536,54.23191069444446
51.53044843673706,3.752597,3.752586,54.753103194444456
52.03028345108032,3.752826,3.75292,55.274342083333345
52.53719210624695,3.752304,3.752137,55.79547222222223
