Time,Voltage,Current,Total mAh,Temperature
88.02802729606628,3.591659,5.962,146.56583333333296,24.937
88.52647423744202,3.592317,5.962,147.3938888888885,24.937
89.03047728538513,3.591889,5.962,148.22194444444406,24.937
89.53273272514343,3.592818,5.962,149.0499999999996,24.937
90.07725262641907,3.592661,5.962,149.87805555555516,24.937
90.5271737575531,3.593381,5.962,150.70611111111072,24.937
91.03634142875671,3.593454,5.962,151.53416666666627,24.937
91.53177404403687,3.593893,5.962,152.36222222222182,24.937
92.03881525993347,3.593767,5.962,153.19027777777737,24.937
92.53100061416626,3.594665,5.962,154.01833333333292,24.937
93.02641654014587,3.594644,5.962,154.84638888888847,24.937
93.53122067451477,3.595145,5.962,155.67444444444402,24.937
94.02586221694946,3.595051,5.962,156.50249999999957,24.937
94.52377319335938,3.595719,5.962,157.33055555555512,24.937
95.0280408859253,3.59573,5.962,158.15861111111067,24.937
95.52970600128174,3.596554,5.962,158.98666666666622,24.937
96.02954649925232,3.596105,5.962,159.81472222222177,24.937
96.53279161453247,3.597065,5.962,160.64277777777733,24.937
97.04672002792358,3.597045,5.962,161.47083333333288,24.937
97.53927397727966,3.597744,5.962,162.29888888888843,24.937
98.03572726249695,3.597493,5.962,163.12694444444398,24.937
98.53143882751465,3.598182,5.962,163.95499999999953,24.937
99.03439736366272,3.598099,5.962,164.78305555555508,24.937
99.52823138237,3.598975,5.962,165.61111111111063,24.937
100.02843165397644,3.598788,5.962,166.43916666666618,24.937
100.52706813812256,3.599612,5.962,167.26722222222173,24.937
101.02702069282532,3.599351,5.962,168.09527777777728,24.937
101.52738165855408,3.599925,5.962,168.92333333333283,24.937
102.02743434906006,3.599863,5.962,169.75138888888839,24.937
102.53866291046143,3.600551,5.962,170.57944444444394,24.937
103.03424215316772,3.60027,5.962,171.4074999999995,24.937
103.53868293762207,3.601418,5.962,172.23555555555504,24.937
104.02768921852112,3.601188,5.962,173.0636111111106,24.937
104.55235958099365,3.601835,5.962,173.89166666666614,24.937
105.02817821502686,3.601877,5.962,174.7197222222217,24.937
105.5285394191742,3.602263,5.962,175.54777777777724,24.937
106.02656388282776,3.602315,5.962,176.3758333333328,24.937
106.5313549041748,3.603119,5.962,177.20388888888834,24.937
107.03162360191345,3.602701,5.962,178.0319444444439,24.937
107.53028631210327,3.603776,5.962,178.85999999999945,24.937
108.02923631668091,3.603557,5.962,179.688055555555,24.937
108.53932118415833,3.604392,5.962,180.51611111111055,25.0
109.0383574962616,3.604319,5.962,181.3441666666661,25.0
109.53989052772522,3.604883,5.962,182.17222222222165,24.937
110.08877849578857,3.604851,5.962,183.0002777777772,24.937
110.52994680404663,3.605352,5.962,183.82833333333275,24.937
111.02692413330078,3.605572,5.962,184.6563888888883,24.937
111.52680611610413,3.605989,5.962,185.48444444444385,24.937
112.03209519386292,3.605707,5.962,186.3124999999994,25.0
112.52679061889648,3.606333,5.962,187.14055555555495,25.0
113.02674555778503,3.606532,5.962,187.9686111111105,24.937
113.52710771560669,3.6072,5.962,188.79666666666606,24.937
114.03693795204163,3.6072,5.962,189.6247222222216,24.937
114.53509092330933,3.608097,5.962,190.45277777777716,24.937
115.04669499397278,3.607701,5.962,191.2808333333327,24.937
115.5892653465271,3.608786,5.962,192.10888888888826,24.937
116.03145098686218,3.608536,5.962,192.9369444444438,24.937
116.52639365196228,3.609141,5.962,193.76499999999936,25.0
117.02769470214844,3.608953,5.962,194.5930555555549,25.0
117.52633738517761,3.609663,5.962,195.42111111111046,24.937
118.02827191352844,3.609402,5.962,196.249166666666,24.937
118.53193020820618,3.610352,5.962,197.07722222222156,24.937
119.03138446807861,3.610101,5.962,197.90527777777712,24.937
119.53203511238098,3.61103,5.962,198.73333333333267,25.0
120.04104804992676,3.61056,5.962,199.56138888888822,24.937
120.53994178771973,3.611458,5.962,200.38944444444377,24.937
121.0349817276001,3.611448,5.962,201.21749999999932,24.937
121.52596855163574,3.612063,5.962,202.04555555555487,24.937
122.02671337127686,3.612136,5.962,202.87361111111042,24.937
