Mode,Time(s),Value
DCV,0.0005850000,6.1716313E+01
DCV,0.0163080003,6.1716433E+01
DCV,0.0316959992,6.1715259E+01
DCV,0.0551280007,6.1715259E+01
DCV,0.0705880001,6.1715470E+01
DCV,0.0931880027,6.1716644E+01
DCV,0.1082559973,6.1717065E+01
DCV,0.1235330030,6.1716734E+01
DCV,0.1467799991,6.1715831E+01
DCV,0.1622200012,6.1715831E+01
DCV,0.1845799983,6.1714988E+01
DCV,0.1998250037,6.1714958E+01
DCV,0.2152220011,6.1716463E+01
DCV,0.2382110059,6.1717546E+01
DCV,0.2538700104,6.1716704E+01
DCV,0.2762460113,6.1715681E+01
DCV,0.2915889919,6.1715861E+01
DCV,0.3072820008,6.1714958E+01
DCV,0.3300620019,6.1714838E+01
DCV,0.3457199931,6.1715982E+01
DCV,0.3611339927,6.1716132E+01
DCV,0.3839010000,6.1715470E+01
DCV,0.3992640078,6.1715500E+01
DCV,0.4221909940,6.1715831E+01
DCV,0.4375889897,6.1716644E+01
DCV,0.4527559876,6.1716162E+01
DCV,0.4757960141,6.1716523E+01
DCV,0.4911490083,6.1715681E+01
DCV,0.5138440132,6.1714477E+01
DCV,0.5294749737,6.1715259E+01
DCV,0.5447509885,6.1715560E+01
DCV,0.5676069856,6.1715951E+01
DCV,0.5843369961,6.1715018E+01
DCV,0.6000639796,6.1715380E+01
DCV,0.6228359938,6.1715741E+01
DCV,0.6386409998,6.1714567E+01
DCV,0.6540489793,6.1715982E+01
DCV,0.6763979793,6.1716493E+01
DCV,0.6920170188,6.1716433E+01
DCV,0.7147700191,6.1717155E+01
DCV,0.7302979827,6.1716463E+01
DCV,0.7458580136,6.1715350E+01
DCV,0.7682269812,6.1715891E+01
DCV,0.7836019993,6.1715921E+01
DCV,0.8067520261,6.1715530E+01
DCV,0.8222079873,6.1716493E+01
DCV,0.8373129964,6.1717035E+01
DCV,0.8598139882,6.1717336E+01
DCV,0.8751490116,6.1717095E+01
DCV,0.8984649777,6.1715861E+01
DCV,0.9138270020,6.1715289E+01
DCV,0.9289140105,6.1715982E+01
DCV,0.9514039755,6.1716373E+01
DCV,0.9667559862,6.1716884E+01
DCV,0.9824960232,6.1716884E+01
DCV,1.0053369999,6.1716463E+01
DCV,1.0204360485,6.1716313E+01
DCV,1.0427370071,6.1715620E+01
DCV,1.0584390163,6.1715560E+01
DCV,1.0740040541,6.1716373E+01
DCV,1.0964839458,6.1716282E+01
DCV,1.1117769480,6.1715229E+01
DCV,1.1340500116,6.1716463E+01
DCV,1.1495800018,6.1717095E+01
DCV,1.1725250483,6.1716222E+01
DCV,1.1876469851,6.1715470E+01
DCV,1.2027319670,6.1716313E+01
DCV,1.2252010107,6.1717516E+01
DCV,1.2408039570,6.1717065E+01
DCV,1.2634890079,6.1716674E+01
DCV,1.2788530588,6.1716644E+01
DCV,1.2939239740,6.1716433E+01
DCV,1.3164809942,6.1715861E+01
DCV,1.3324259520,6.1714718E+01
DCV,1.3551150560,6.1714086E+01
DCV,1.3702269793,6.1716012E+01
DCV,1.3855060339,6.1717667E+01
DCV,1.4082139730,6.1716614E+01
DCV,1.4238940477,6.1716975E+01
DCV,1.4395430088,6.1717577E+01
DCV,1.4619350433,6.1716042E+01
DCV,1.4769409895,6.1715380E+01
DCV,1.4999270439,6.1715711E+01
DCV,1.5155719519,6.1716373E+01
DCV,1.5309829712,6.1716734E+01
DCV,1.5535720587,6.1715289E+01
DCV,1.5688509941,6.1715440E+01
DCV,1.5921030045,6.1716674E+01
DCV,1.6078840494,6.1716192E+01
DCV,1.6233650446,6.1715049E+01
DCV,1.6459549665,6.1714778E+01
DCV,1.6614780426,6.1714718E+01
DCV,1.6841670275,6.1714025E+01
DCV,1.6998349428,6.1715319E+01
DCV,1.7152949572,6.1717095E+01
DCV,1.7377359867,6.1717817E+01
DCV,1.7534389496,6.1717155E+01
DCV,1.7687820196,6.1716614E+01
DCV,1.7914789915,6.1717637E+01
DCV,1.8071340322,6.1717456E+01
DCV,1.8298269510,6.1716072E+01
DCV,1.8452320099,6.1715500E+01
DCV,1.8605779409,6.1714567E+01
DCV,1.8832249641,6.1713875E+01
DCV,1.8986569643,6.1715530E+01
DCV,1.9216289520,6.1715771E+01
DCV,1.9369759560,6.1715109E+01
