Mode,Time(s),Value
DCV,0.0005770000,6.1749478E+01
DCV,0.0165139996,6.1750320E+01
DCV,0.0399300009,6.1751524E+01
DCV,0.0553480014,6.1751645E+01
DCV,0.0704599991,6.1752156E+01
DCV,0.0930259973,6.1752246E+01
DCV,0.1084320024,6.1751645E+01
DCV,0.1241810024,6.1752186E+01
DCV,0.1470910013,6.1751584E+01
DCV,0.1622309983,6.1749478E+01
DCV,0.1846159995,6.1749237E+01
DCV,0.2002609968,6.1750772E+01
DCV,0.2162349969,6.1751434E+01
DCV,0.2388730049,6.1752006E+01
DCV,0.2542119920,6.1751464E+01
DCV,0.2765730023,6.1751253E+01
DCV,0.2921589911,6.1751344E+01
DCV,0.3078239858,6.1750922E+01
DCV,0.3302209973,6.1751584E+01
DCV,0.3452270031,6.1750591E+01
DCV,0.3677209914,6.1749327E+01
DCV,0.3831810057,6.1749056E+01
DCV,0.3985430002,6.1749929E+01
DCV,0.4211660028,6.1752608E+01
DCV,0.4361959994,6.1751765E+01
DCV,0.4590590000,6.1750982E+01
DCV,0.4747479856,6.1751795E+01
DCV,0.4901239872,6.1752608E+01
DCV,0.5126870275,6.1751253E+01
DCV,0.5277280211,6.1751494E+01
DCV,0.5504590273,6.1751554E+01
DCV,0.5664979815,6.1749989E+01
DCV,0.5818679929,6.1749959E+01
DCV,0.6042270064,6.1750501E+01
DCV,0.6194700003,6.1749628E+01
DCV,0.6421930194,6.1749899E+01
DCV,0.6578840017,6.1751283E+01
DCV,0.6734730005,6.1752367E+01
DCV,0.6958439946,6.1751765E+01
DCV,0.7108439803,6.1751374E+01
DCV,0.7338479757,6.1750621E+01
DCV,0.7495260239,6.1750441E+01
DCV,0.7648720145,6.1749809E+01
DCV,0.7888180017,6.1749779E+01
DCV,0.8043940067,6.1751434E+01
DCV,0.8198869824,6.1751494E+01
DCV,0.8428760171,6.1752066E+01
DCV,0.8582739830,6.1753149E+01
DCV,0.8734149933,6.1752969E+01
DCV,0.8964020014,6.1751374E+01
DCV,0.9118189812,6.1751344E+01
DCV,0.9345650077,6.1750982E+01
DCV,0.9501090050,6.1750982E+01
DCV,0.9651939869,6.1751253E+01
DCV,0.9878889918,6.1750952E+01
DCV,1.0035190582,6.1751524E+01
DCV,1.0262839794,6.1752096E+01
DCV,1.0416179895,6.1752397E+01
DCV,1.0572069883,6.1752367E+01
DCV,1.0799119473,6.1751855E+01
DCV,1.0950690508,6.1751825E+01
