Time,Voltage,Current,Total mAh,Temperature
0.04033255577087402,4.13798,4.197684,0.5830116666666667,30.125
0.5364747047424316,4.135392,4.197097,1.1659418055555557,30.125
1.031301498413086,4.133983,4.197371,1.7489100000000002,30.187
1.5363993644714355,4.131958,4.197324,2.331871666666667,30.187
2.034263849258423,4.130841,4.198037,2.914932361111111,30.187
2.534187078475952,4.129077,4.197018,3.4978515277777777,30.187
3.0573935508728027,4.128284,4.197669,4.080861111111111,30.187
3.554933547973633,4.126061,4.197073,4.663787916666666,30.187
4.034151554107666,4.125696,4.197449,5.246766944444444,30.187
4.535989046096802,4.123744,4.197457,5.8297470833333325,30.125
5.03413724899292,4.123327,4.19781,6.412776249999999,30.125
5.534951210021973,4.121698,4.197332,6.995739027777777,30.125
6.036065101623535,4.120853,4.19788,7.578777916666666,30.125
6.537014484405518,4.119653,4.19712,8.16171125,30.187
7.0505149364471436,4.119215,4.197802,8.744739305555555,30.187
7.534640789031982,4.117983,4.196901,9.327642222222222,30.187
8.042595386505127,4.116845,4.197958,9.910691944444444,30.187
8.532130241394043,4.115958,4.197583,10.493689583333333,30.187
9.0355384349823,4.115332,4.197825,11.076720833333333,30.187
9.54749059677124,4.11384,4.197324,11.659682499999999,30.187
10.056510210037231,4.113892,4.197677,12.242693194444444,30.187
10.53557801246643,4.112431,4.197042,12.825615694444444,30.187
11.035252809524536,4.112138,4.197849,13.408650277777777,30.187
11.532232999801636,4.110719,4.197308,13.991609722222222,30.187
12.040164232254028,4.110656,4.197473,14.574592083333332,30.187
12.536311388015747,4.109289,4.197536,15.157583194444443,30.125
13.054901599884033,4.109007,4.198139,15.740658055555555,30.125
13.553816318511963,4.107828,4.197261,16.32361097222222,30.125
14.034393310546875,4.107525,4.197348,16.90657597222222,30.125
14.534058809280396,4.106388,4.197144,17.489512638888886,30.125
15.031218767166138,4.106033,4.19781,18.072541805555552,30.187
15.53277850151062,4.105281,4.197402,18.655514305555553,30.187
16.04422688484192,4.104958,4.198037,19.238574999999997,30.187
16.5486958026886,4.103632,4.197551,19.821568194444442,30.187
17.035760641098022,4.10359,4.198029,20.404627777777776,30.187
17.530502557754517,4.102839,4.197645,20.987634027777776,30.187
18.0319185256958,4.102192,4.197723,21.57065111111111,30.187
18.533514499664307,4.101232,4.197629,22.15365513888889,30.187
19.034423112869263,4.101211,4.197872,22.73669291666667,30.187
19.564605474472046,4.10024,4.197739,23.319712222222226,30.187
20.05233883857727,4.100042,4.198194,23.902794722222225,30.187
20.531273365020752,4.098748,4.197629,24.485798750000004,30.187
21.030178546905518,4.09857,4.197912,25.068842083333337,30.187
21.53214192390442,4.097881,4.197481,25.651825555555558,30.187
22.034244060516357,4.097683,4.198115,26.234897083333337,30.187
22.532040119171143,4.096848,4.1977,26.817910972222226,30.187
23.034898042678833,4.096775,4.197583,27.400908611111113,30.187
23.540640592575073,4.095543,4.197677,27.983919305555556,30.187
24.034095764160156,4.095616,4.198131,28.566993055555557,30.187
24.5337872505188,4.094656,4.197716,29.150009166666667,30.187
25.02869701385498,4.094625,4.198162,29.733087222222224,30.187
25.5315420627594,4.093487,4.197575,30.31608375,30.187
26.043622255325317,4.093404,4.198209,30.899168333333336,30.187
26.54911231994629,4.092391,4.197692,31.482181111111114,30.187
27.0324547290802,4.092506,4.198186,32.0652625,30.187
27.535855770111084,4.091306,4.198013,32.64831986111111,30.187
28.0304114818573,4.091296,4.19857,33.23145458333333,30.187
28.534301280975342,4.09021,4.197653,33.814461944444446,30.187
29.032213926315308,4.090117,4.197731,34.39748013888889,30.187
29.560176134109497,4.089313,4.197716,34.98049625,30.187
30.06495237350464,4.089386,4.198256,35.56358736111111,30.187
30.53208637237549,4.088593,4.197348,36.14655236111111,30.187
31.035003900527954,4.088332,4.197935,36.72959888888889,30.187
31.532283544540405,4.087706,4.197575,37.31259541666667,30.187
32.03289222717285,4.087559,4.198319,37.895695277777776,30.187
32.54086112976074,4.086683,4.197512,38.47868305555556,30.187
33.047261476516724,4.086442,4.1981,39.061752500000004,30.25
33.53204393386841,4.086213,4.197865,39.64478930555556,30.187
34.034746408462524,4.086056,4.198107,40.22785972222223,30.187
34.534605741500854,4.085075,4.19788,40.810898611111114,30.187
35.03352403640747,4.085211,4.197825,41.39392986111111,30.187
35.53554081916809,4.084407,4.197786,41.97695569444444,30.187
36.05567812919617,4.084105,4.198186,42.56003708333333,30.187
36.55968427658081,4.083468,4.197638,43.14304236111111,30.187
37.033711194992065,4.083416,4.198045,43.72610416666666,30.187
37.53028154373169,4.082487,4.197575,44.30910069444444,30.187
38.03229999542236,4.082664,4.197982,44.89215374999999,30.187
38.53511881828308,4.081892,4.197731,45.47517194444443,30.187
39.03234243392944,4.081819,4.197638,46.05817722222221,30.187
39.53605937957764,4.08066,4.197692,46.64118999999999,30.187
40.04559850692749,4.081036,4.198092,47.224258333333324,30.187
40.53540015220642,4.080285,4.197198,47.80720249999999,30.187
41.03486728668213,4.080128,4.197677,48.390213194444435,30.25
41.531797885894775,4.079272,4.197473,48.97319555555555,30.187
42.034247159957886,4.079679,4.197872,49.556233333333324,30.187
42.544970750808716,4.078416,4.197967,50.13928430555555,30.187
43.05046987533569,4.078531,4.197935,50.722330833333324,30.187
43.53365087509155,4.077508,4.197527,51.30532069444443,30.187
44.03858542442322,4.077947,4.197888,51.88836069444443,30.187
44.530741691589355,4.076861,4.197912,52.471404027777766,30.25
45.033456802368164,4.077081,4.198084,53.054471249999985,30.187
45.530348777770996,4.075964,4.197739,53.63749055555554,30.187
46.056440114974976,4.076392,4.197958,54.22054027777776,30.187
46.561087131500244,4.075578,4.197348,54.80350527777776,30.187
47.03324055671692,4.075484,4.197747,55.38652569444442,30.187
47.53237962722778,4.074576,4.197645,55.96953194444442,30.187
48.03531789779663,4.07492,4.197684,56.55254361111108,30.187
