Time,Voltage,Current,Total mAh,Temperature
0.8637597560882568,3.753932,5.962,0.8280555555555555,23.812
1.7436482906341553,3.757126,5.962,1.656111111111111,24.0
2.6236519813537598,3.760184,5.962,2.484166666666667,23.937
3.5036377906799316,3.762585,5.962,3.312222222222222,24.0
4.3835484981536865,3.767406,5.962,4.1402777777777775,24.0
5.263640642166138,3.768795,5.962,4.968333333333333,24.0
6.263653039932251,3.770976,5.962,5.796388888888888,24.0
7.183654069900513,3.773147,5.962,6.6244444444444435,23.937
8.063624382019043,3.774963,5.962,7.452499999999999,24.0
8.943642854690552,3.776007,5.962,8.280555555555555,24.0
9.823651313781738,3.777614,5.962,9.108611111111111,23.937
10.703655242919922,3.77895,5.962,9.936666666666667,23.937
11.583606004714966,3.780453,5.962,10.764722222222224,23.937
12.463642120361328,3.782123,5.962,11.59277777777778,24.0
13.34359335899353,3.783834,5.962,12.420833333333336,24.0
14.303657293319702,3.785066,5.962,13.248888888888892,23.937
15.183638572692871,3.786203,5.962,14.076944444444448,24.0
16.063610315322876,3.787299,5.962,14.905000000000005,23.937
16.943665027618408,3.787946,5.962,15.733055555555561,23.937
17.903628826141357,3.789021,5.962,16.561111111111117,23.937
18.783661127090454,3.790128,5.962,17.38916666666667,23.937
19.6636061668396,3.791192,5.962,18.217222222222226,23.937
20.62362575531006,3.791766,5.962,19.04527777777778,23.937
21.503646850585938,3.792466,5.962,19.873333333333335,23.937
22.383652925491333,3.794073,5.962,20.70138888888889,23.937
23.26364827156067,3.79472,5.962,21.529444444444444,23.937
24.143550634384155,3.79568,5.962,22.357499999999998,23.937
25.023626565933228,3.796546,5.962,23.185555555555553,24.0
25.903654098510742,3.797068,5.962,24.013611111111107,23.937
26.863523244857788,3.797632,5.962,24.84166666666666,24.0
27.743603944778442,3.79806,5.962,25.669722222222216,24.0
28.623626708984375,3.799166,5.962,26.49777777777777,24.0
29.58361291885376,3.799531,5.962,27.325833333333325,23.937
30.46363639831543,3.8002,5.962,28.15388888888888,23.937
31.34399437904358,3.80142,5.962,28.981944444444434,24.0
32.22377157211304,3.801901,5.962,29.809999999999988,23.937
33.1036536693573,3.802433,5.962,30.638055555555542,24.0
33.98365020751953,3.802809,5.962,31.466111111111097,24.0
34.86366009712219,3.803028,5.962,32.294166666666655,24.0
35.74362802505493,3.803612,5.962,33.12222222222221,24.0
36.623741149902344,3.804019,5.962,33.95027777777777,24.0
37.503634214401245,3.804499,5.962,34.77833333333333,24.0
38.38363170623779,3.805428,5.962,35.60638888888889,24.0
39.26365065574646,3.805929,5.962,36.434444444444445,24.0
40.143646001815796,3.80666,5.962,37.2625,24.0
41.02363729476929,3.807234,5.962,38.09055555555556,24.0
41.98370170593262,3.807234,5.962,38.91861111111112,24.0
42.86376881599426,3.807453,5.962,39.74666666666668,24.0
43.743549823760986,3.807975,5.962,40.574722222222235,24.0
44.703617572784424,3.808403,5.962,41.40277777777779,24.0
45.583600759506226,3.808977,5.962,42.23083333333335,24.0
46.46364235877991,3.8093,5.962,43.05888888888891,24.0
47.34353518486023,3.810313,5.962,43.88694444444447,24.0
48.22369885444641,3.810553,5.962,44.715000000000025,24.0
49.10365009307861,3.811085,5.962,45.54305555555558,24.0
49.98365020751953,3.811471,5.962,46.37111111111114,23.937
50.943655490875244,3.811315,5.962,47.1991666666667,24.0
51.82364106178284,3.811617,5.962,48.02722222222226,24.0
52.70365595817566,3.811993,5.962,48.855277777777815,24.0
53.663639068603516,3.812588,5.962,49.68333333333337,24.0
54.543654441833496,3.812807,5.962,50.51138888888893,23.937
55.423643827438354,3.813632,5.962,51.33944444444449,24.0
56.30362796783447,3.81383,5.962,52.16750000000005,23.937
57.183647871017456,3.814279,5.962,52.995555555555605,23.937
58.063661098480225,3.814634,5.962,53.82361111111116,23.937
58.943732261657715,3.814665,5.962,54.65166666666672,24.0
59.82361698150635,3.814968,5.962,55.47972222222228,24.0
60.70363783836365,3.815218,5.962,56.30777777777784,23.937
61.58361744880676,3.815688,5.962,57.135833333333395,24.0
62.46366095542908,3.816157,5.962,57.96388888888895,24.0
63.42322254180908,3.81693,5.962,58.79194444444451,24.0
64.30367016792297,3.817086,5.962,59.62000000000007,24.0
65.18365001678467,3.817431,5.962,60.44805555555563,24.0
66.14366340637207,3.817608,5.962,61.276111111111184,24.0
67.02355623245239,3.818099,5.962,62.10416666666674,24.0
67.90374779701233,3.817838,5.962,62.9322222222223,24.0
68.86368322372437,3.818266,5.962,63.76027777777786,24.0
69.74367451667786,3.8186,5.962,64.58833333333341,24.0
70.62367153167725,3.818882,5.962,65.41638888888896,24.0
71.5036404132843,3.819403,5.962,66.24444444444451,23.937
72.38353300094604,3.819748,5.962,67.07250000000006,24.0
73.26364779472351,3.820447,5.962,67.90055555555561,23.937
74.14365816116333,3.820677,5.962,68.72861111111116,23.937
75.02364873886108,3.820833,5.962,69.55666666666671,24.0
75.9035415649414,3.820791,5.962,70.38472222222227,24.0
76.78363227844238,3.821032,5.962,71.21277777777782,24.0
77.74360513687134,3.821439,5.962,72.04083333333337,24.0
78.70361351966858,3.821679,5.962,72.86888888888892,24.0
79.58365774154663,3.822023,5.962,73.69694444444447,23.937
80.4636116027832,3.822545,5.962,74.52500000000002,24.0
81.34365248680115,3.823129,5.962,75.35305555555557,23.937
82.22366333007812,3.823505,5.962,76.18111111111112,23.937
83.18365716934204,3.823589,5.962,77.00916666666667,23.937
84.0636842250824,3.823881,5.962,77.83722222222222,23.937
84.94364595413208,3.823756,5.962,78.66527777777777,23.937
85.82362914085388,3.824027,5.962,79.49333333333333,23.937
86.70364809036255,3.824424,5.962,80.32138888888888,23.937
87.58366775512695,3.824747,5.962,81.14944444444443,23.937
88.46359372138977,3.824903,5.962,81.97749999999998,23.937
89.42365980148315,3.825655,5.962,82.80555555555553,23.937
90.30365753173828,3.825843,5.962,83.63361111111108,23.937
91.18366813659668,3.826135,5.962,84.46166666666663,23.937
92.06363487243652,3.826187,5.962,85.28972222222218,23.937
92.94366598129272,3.826406,5.962,86.11777777777773,23.937
93.82380676269531,3.826594,5.962,86.94583333333328,23.937
94.70386695861816,3.827043,5.962,87.77388888888883,23.937
95.58365750312805,3.827064,5.962,88.60194444444438,23.937
96.46366763114929,3.827482,5.962,89.42999999999994,23.875
97.34363341331482,3.828202,5.962,90.25805555555549,23.937
98.22368788719177,3.828191,5.962,91.08611111111104,23.937
99.1035270690918,3.828306,5.962,91.91416666666659,23.937
