Time,Voltage,Current,Total mAh
0.05342912673950195,3.715629,3.715713,0.51607125
0.5338037014007568,3.712874,3.712801,1.0317380555555555
1.029768943786621,3.709148,3.709116,1.5468930555555556
1.5347976684570312,3.706695,3.706664,2.0617075
2.0318222045898438,3.704159,3.704378,2.5762044444444445
2.5334885120391846,3.702614,3.702812,3.090483888888889
3.0615105628967285,3.700402,3.700297,3.604414027777778
3.556365489959717,3.699316,3.699587,4.118245555555556
4.032810926437378,3.697719,3.698022,4.631859722222223
4.533371210098267,3.697375,3.697782,5.145440555555556
5.033403635025024,3.696404,3.696519,5.658845972222222
5.532385349273682,3.696227,3.696467,6.172244166666666
6.0423290729522705,3.695413,3.695402,6.685494444444444
6.549456357955933,3.695287,3.695392,7.198743333333333
7.0361762046813965,3.694536,3.694432,7.711858888888888
7.533061504364014,3.694734,3.694755,8.225019305555556
8.039100170135498,3.693607,3.693753,8.738040555555555
8.534094333648682,3.694379,3.694118,9.2511125
9.032026529312134,3.694098,3.694171,9.764191805555555
9.556867361068726,3.6951,3.695194,10.277413194444444
10.058717489242554,3.694932,3.694661,10.790560555555555
10.53067946434021,3.696081,3.696018,11.303896388888887
11.03202772140503,3.69559,3.695528,11.817164166666664
11.53204870223999,3.696164,3.696101,12.330511527777775
12.032613515853882,3.696269,3.696279,12.843883611111108
12.532352924346924,3.696717,3.696748,13.35732083333333
13.065537214279175,3.696154,3.695976,13.87065083333333
13.559391021728516,3.695955,3.696039,14.383989583333332
14.032089948654175,3.695152,3.695246,14.897218194444443
14.532441139221191,3.695966,3.695976,15.410548194444443
15.032195806503296,3.694776,3.694797,15.923714444444443
15.533314228057861,3.694974,3.695162,16.436931388888887
16.04018807411194,3.694651,3.694703,16.950084583333332
16.55170226097107,3.694787,3.694682,17.46323486111111
17.034031629562378,3.693565,3.693837,17.976267777777778
17.53207564353943,3.693638,3.693576,18.489264444444444
18.032917261123657,3.69296,3.692991,19.00217986111111
18.53294539451599,3.692971,3.693242,19.51513013888889
19.030837535858154,3.691989,3.692083,20.027919444444443
19.56175208091736,3.691812,3.69176,20.540663888888886
20.05463409423828,3.690727,3.690956,21.053296666666665
20.528632164001465,3.690737,3.690904,21.56592222222222
21.030670642852783,3.689766,3.689808,22.078395555555552
21.53456211090088,3.689672,3.689651,22.59084708333333
22.032526969909668,3.688472,3.688545,23.103144999999998
22.530269145965576,3.688263,3.688242,23.615400833333332
23.044307947158813,3.687199,3.687282,24.127523333333333
23.5612051486969,3.687084,3.687241,24.63964013888889
24.0323166847229,3.685894,3.685853,25.151564166666667
24.534217834472656,3.68579,3.6858,25.663480833333335
25.035176753997803,3.684684,3.684871,26.175268472222225
25.5320725440979,3.68461,3.684673,26.687028611111113
26.04400873184204,3.683755,3.683609,27.198640972222226
26.55156707763672,3.683254,3.683379,27.710221388888893
27.036937713623047,3.682116,3.68221,28.22163944444445
27.5349338054657,3.682085,3.682106,28.73304305555556
28.031707286834717,3.680895,3.680905,29.244279861111114
28.531794548034668,3.680728,3.680822,29.755505138888893
29.03255820274353,3.679538,3.679726,30.26657819444445
29.546672821044922,3.67958,3.679663,30.777642500000006
30.053520917892456,3.678661,3.678735,31.28857791666667
30.53046202659607,3.678453,3.678494,31.799479861111116
31.030581951141357,3.677398,3.677513,32.31024555555556
31.531371116638184,3.677273,3.677221,32.82097069444445
32.031349658966064,3.675937,3.676115,33.331542222222225
32.53319025039673,3.676626,3.676344,33.84214555555556
33.05912923812866,3.675301,3.675603,34.35264597222223
33.56407928466797,3.674988,3.67481,34.86303625000001
34.033241987228394,3.673829,3.673871,35.37329611111112
34.53015637397766,3.673819,3.673662,35.88352694444445
35.03197264671326,3.673151,3.673015,36.39366791666667
35.531944274902344,3.672692,3.67265,36.90375819444445
36.030916929244995,3.672358,3.672086,37.41377013888889
36.53352236747742,3.636684,3.655178,37.921433750000006
37.044737577438354,3.643426,3.643145,38.42742611111112
37.53175640106201,3.649041,3.648968,38.934227222222226
38.03260326385498,3.650899,3.650638,39.44126027777778
38.530709743499756,3.652246,3.652433,39.94854263888889
39.0285542011261,3.65164,3.651588,40.45570763888889
39.54951286315918,3.651807,3.651922,40.96291902777778
40.05526828765869,3.651024,3.650847,41.46998111111111
40.53242325782776,3.651024,3.650972,41.97706055555555
41.03414821624756,3.650367,3.650294,42.48404583333333
41.531288862228394,3.650482,3.650315,42.99103402777778
42.03019070625305,3.64972,3.649751,43.49794388888889
42.53224444389343,3.649375,3.649386,44.004803055555556
43.05349349975586,3.64853,3.648593,44.511552083333335
43.55400633811951,3.648718,3.649073,45.018367777777776
44.03197431564331,3.647925,3.647643,45.52498486111111
44.53401255607605,3.64781,3.64805,46.03165847222222
45.02882766723633,3.646944,3.646818,46.53816097222222
45.5319550037384,3.647163,3.647058,47.04469680555555
46.03177571296692,3.646297,3.646161,47.55110805555555
46.532710790634155,3.64614,3.64614,48.057516388888885
47.0334312915802,3.645388,3.645409,48.56382319444444
47.53364586830139,3.645493,3.645503,49.07014305555555
48.030545234680176,3.64471,3.644553,49.576330972222216
48.52941370010376,3.644679,3.644647,50.08253194444444
49.03244209289551,3.643771,3.643896,50.588628611111105
49.54461121559143,3.643739,3.643865,51.09472097222221
50.05022573471069,3.643051,3.643207,51.60072194444444
50.530333280563354,3.643249,3.643228,52.10672583333333
51.03218197822571,3.642038,3.642143,52.61257902777777
51.53020906448364,3.642289,3.642424,53.11847124999999
52.030208587646484,3.641308,3.641454,53.62422874999999
52.532034158706665,3.641663,3.641673,54.13001666666666
