Time,Voltage,Current,Total mAh
0.026155471801757812,3.879791,5.962,0.8280555555555555
0.5255391597747803,3.8819,5.962,1.656111111111111
1.0266618728637695,3.882453,5.962,2.484166666666667
1.5375313758850098,3.884321,5.962,3.312222222222222
2.0405209064483643,3.884937,5.962,4.1402777777777775
2.573435068130493,3.886461,5.962,4.968333333333333
3.0256028175354004,3.88717,5.962,5.796388888888888
3.524793863296509,3.888266,5.962,6.6244444444444435
4.027593612670898,3.8886,5.962,7.452499999999999
4.5281195640563965,3.889832,5.962,8.280555555555555
5.024184465408325,3.890093,5.962,9.108611111111111
5.522986888885498,3.891314,5.962,9.936666666666667
6.02701997756958,3.891554,5.962,10.764722222222224
6.527858734130859,3.892597,5.962,11.59277777777778
7.029435634613037,3.89313,5.962,12.420833333333336
7.535923480987549,3.894111,5.962,13.248888888888892
8.08707070350647,3.894111,5.962,14.076944444444448
8.52456021308899,3.895144,5.962,14.905000000000005
9.027896881103516,3.895207,5.962,15.733055555555561
9.523734331130981,3.896553,5.962,16.561111111111117
10.023439168930054,3.896209,5.962,17.38916666666667
10.523437261581421,3.897305,5.962,18.217222222222226
11.022140741348267,3.897346,5.962,19.04527777777778
11.525418519973755,3.898244,5.962,19.873333333333335
12.024805784225464,3.898254,5.962,20.70138888888889
12.525259494781494,3.89935,5.962,21.529444444444444
13.037998914718628,3.899402,5.962,22.357499999999998
13.533854961395264,3.900206,5.962,23.185555555555553
14.034928321838379,3.899956,5.962,24.013611111111107
14.527538061141968,3.90079,5.962,24.84166666666666
15.023876190185547,3.900613,5.962,25.669722222222216
15.524062395095825,3.901605,5.962,26.49777777777777
16.022968530654907,3.901897,5.962,27.325833333333325
16.52411127090454,3.902231,5.962,28.15388888888888
17.037020206451416,3.902304,5.962,28.981944444444434
17.52702045440674,3.903107,5.962,29.809999999999988
18.02756381034851,3.903118,5.962,30.638055555555542
18.52397346496582,3.90389,5.962,31.466111111111097
19.036189794540405,3.903974,5.962,32.294166666666655
19.536423921585083,3.904579,5.962,33.12222222222221
20.032361030578613,3.904099,5.962,33.95027777777777
20.52364444732666,3.905226,5.962,34.77833333333333
21.023988246917725,3.904892,5.962,35.60638888888889
21.525325298309326,3.905758,5.962,36.434444444444445
22.023611783981323,3.905571,5.962,37.2625
22.548227071762085,3.906322,5.962,38.09055555555556
23.025211572647095,3.906447,5.962,38.91861111111112
23.523135900497437,3.906948,5.962,39.74666666666668
24.023168802261353,3.906833,5.962,40.574722222222235
24.53306007385254,3.907752,5.962,41.40277777777779
25.027949333190918,3.907188,5.962,42.23083333333335
25.535975456237793,3.908076,5.962,43.05888888888891
26.02396512031555,3.907648,5.962,43.88694444444447
26.521787405014038,3.908775,5.962,44.715000000000025
27.0238037109375,3.908639,5.962,45.54305555555558
27.523796319961548,3.909056,5.962,46.37111111111114
28.076204299926758,3.908879,5.962,47.1991666666667
28.5236599445343,3.909902,5.962,48.02722222222226
29.023907899856567,3.909558,5.962,48.855277777777815
29.523006439208984,3.910403,5.962,49.68333333333337
30.023138523101807,3.910038,5.962,50.51138888888893
30.536187887191772,3.910914,5.962,51.33944444444449
31.03454279899597,3.910601,5.962,52.16750000000005
31.5378737449646,3.911144,5.962,52.995555555555605
32.023197174072266,3.91057,5.962,53.82361111111116
32.52311849594116,3.911916,5.962,54.65166666666672
33.02222514152527,3.91152,5.962,55.47972222222228
33.52398943901062,3.912167,5.962,56.30777777777784
34.0238983631134,3.911728,5.962,57.135833333333395
34.524094343185425,3.912626,5.962,57.96388888888895
35.024200201034546,3.912584,5.962,58.79194444444451
35.523611545562744,3.913033,5.962,59.62000000000007
36.036309003829956,3.913137,5.962,60.44805555555563
36.53456115722656,3.913638,5.962,61.276111111111184
37.04613733291626,3.913513,5.962,62.10416666666674
37.527716398239136,3.914014,5.962,62.9322222222223
38.0237877368927,3.913931,5.962,63.76027777777786
38.52430701255798,3.914703,5.962,64.58833333333341
39.02887439727783,3.914338,5.962,65.41638888888896
39.527512311935425,3.914964,5.962,66.24444444444451
40.029139280319214,3.914985,5.962,67.07250000000006
40.52803325653076,3.915705,5.962,67.90055555555561
41.02808737754822,3.915068,5.962,68.72861111111116
41.52276611328125,3.915882,5.962,69.55666666666671
42.04392457008362,3.915715,5.962,70.38472222222227
42.5526237487793,3.916394,5.962,71.21277777777782
43.03627038002014,3.91608,5.962,72.04083333333337
43.52344107627869,3.916832,5.962,72.86888888888892
44.02495718002319,3.916613,5.962,73.69694444444447
44.52779030799866,3.917615,5.962,74.52500000000002
45.02767777442932,3.916916,5.962,75.35305555555557
45.52678203582764,3.917479,5.962,76.18111111111112
46.027488708496094,3.917552,5.962,77.00916666666667
46.52218961715698,3.918502,5.962,77.83722222222222
47.02285289764404,3.918022,5.962,78.66527777777777
47.531986474990845,3.918972,5.962,79.49333333333333
48.08392930030823,3.918147,5.962,80.32138888888888
48.545928716659546,3.919159,5.962,81.14944444444443
49.024086236953735,3.919076,5.962,81.97749999999998
49.52401566505432,3.919619,5.962,82.80555555555553
50.023605823516846,3.91942,5.962,83.63361111111108
50.5260226726532,3.920224,5.962,84.46166666666663
51.02597260475159,3.919827,5.962,85.28972222222218
51.527862548828125,3.920704,5.962,86.11777777777773
52.02329778671265,3.920036,5.962,86.94583333333328
52.52236199378967,3.921059,5.962,87.77388888888883
53.02532196044922,3.92084,5.962,88.60194444444438
53.53701210021973,3.921591,5.962,89.42999999999994
54.031996726989746,3.921049,5.962,90.25805555555549
54.53643488883972,3.921967,5.962,91.08611111111104
55.02436947822571,3.921998,5.962,91.91416666666659
