Time,Electrical Power,Mechanical Power
0.136,114.99985335525416,-111.10856439398421
0.138,133.79052107667937,-89.45201658969063
0.14,158.59136306297572,-67.50738615505932
0.14200000000000002,177.64140183642309,-41.64111908371865
0.14400000000000002,144.1112684546796,-78.51290830634895
0.146,132.37148333055023,-81.43188693325955
0.148,125.64804717897013,-84.68997545037564
0.15,114.36721603960927,-88.53596221541808
0.152,104.3887205334446,-93.10860503215906
0.154,101.2044840551128,-92.57586590656487
0.156,95.59115989112196,-101.86604946646315
0.158,98.70904257302138,-102.25641511556896
0.16,89.67798458111577,-110.48794904150867
0.162,81.67868671144043,-114.2658461597327
0.164,81.36400689587691,-118.08249841032566
0.166,80.62233486188006,-121.30413203817909
0.168,78.37454718344372,-124.27937952767255
0.17,85.37959911635662,-124.19832828735944
0.17200000000000001,83.58120171298481,-129.28272956071714
0.17400000000000002,75.73392546177848,-131.25184752235492
0.176,76.21475790210506,-134.5778331094922
0.178,74.34131829429286,-135.4169634549461
0.18,66.69049244646831,-136.63100639448703
0.182,71.0455553015153,-137.3351511858013
0.184,75.82830370356683,-137.83135888872437
0.186,72.68781786644496,-138.4108164334645
0.188,70.59905114069038,-139.57987037443928
0.19,67.60368070636088,-139.51166052733484
0.192,78.7646168977038,-141.456690833939
0.194,77.12997095837855,-140.56755876557045
0.196,79.1949161294994,-139.46404927716435
0.198,81.16583880325395,-138.39743023303336
0.2,82.68987530728468,-137.52963377808473
0.202,76.77008148478308,-136.1595983441492
0.20400000000000001,43.66648558561224,-133.23187391768914
0.20600000000000002,72.45772036582323,-134.69299425994177
0.20800000000000002,74.83289836728507,-133.41150925977274
0.21,85.60741371945662,-133.97755529911115
0.212,89.03432579592597,-132.1806760166317
0.214,92.67992824880817,-130.30805104040888
0.216,96.15161408608608,-128.5220604453603
0.218,84.91867343778543,-127.0484484857802
0.22,88.55863854439465,-125.21438285883127
0.222,47.43389165815259,-121.71090946029804
0.224,92.3556452988666,-122.72984491705154
0.226,95.3868011453172,-121.13101541169866
0.228,53.46320985150321,-117.19999207672848
0.23,100.9049813944405,-118.30049340644004
0.232,90.1057112367812,-116.61945775973373
0.234,94.00276450300375,-114.66661449057739
0.23600000000000002,96.79872827000203,-113.18622784060199
0.23800000000000002,99.07396068299968,-111.47937046010456
0.24,100.5365641481664,-110.11768086985337
0.242,103.38870450404336,-108.64747683435613
0.244,103.85997642578039,-108.90752707386156
0.246,106.40428895353581,-107.0462199110622
0.248,103.79688788291291,-105.27203915986358
0.25,98.11883361357721,-105.0628475078458
0.252,101.78687983473293,-103.17002563170249
0.254,105.17263063095245,-101.41822436515719
0.256,109.07085515804951,-99.4869216086088
0.258,111.99128597095024,-97.96966410974173
0.26,115.38215575865311,-96.2860964985365
0.262,117.91526388269466,-94.95935045357386
0.264,120.27177342398936,-93.71331148415138
0.266,73.0097563130359,-89.54818066545967
0.268,112.48200518266063,-91.2969796810336
0.27,115.87601825366357,-89.63980984379971
0.272,118.36390809694404,-88.34869891451984
0.274,118.696188731468,-88.20874956586775
0.276,121.77078361930414,-86.62991757801959
0.278,124.98935722587552,-85.02685215092818
0.28,127.99481045300729,-83.53211491836639
0.28200000000000003,130.50741900039287,-82.24714822525588
0.28400000000000003,121.0751585492983,-80.80789424645627
0.28600000000000003,123.20683892752399,-79.7055817059687
0.28800000000000003,125.36917202430742,-78.60080275914247
0.29,124.36657508321494,-77.30672163028989
0.292,126.37329493194179,-76.28556422985706
0.294,130.07535179018964,-76.31275612429668
0.296,132.95141635361364,-74.89341262410795
0.298,135.5343096222042,-73.61970605847584
0.3,97.23923867946894,-72.49915304137048
0.302,85.35992757690764,-72.46468642705477
0.304,47.47383480522387,-71.17935881561449
0.306,49.789960019010984,-70.04925215621415
0.308,51.429673896641525,-69.19268397681543
0.31,53.64780410123826,-68.17876339109432
0.312,54.96002555232336,-67.49781070392652
0.314,56.27510707411427,-66.85634044237878
0.316,57.46650011814812,-66.29492174382044
0.318,46.75867025112303,-65.85514695280557
0.32,47.96884282531734,-65.3265365882289
0.322,52.52272655939624,-64.74432413796194
0.324,56.73820262879488,-64.32175869488248
0.326,58.7283385947168,-63.42210349444011
0.328,54.67213194650311,-62.55748077297234
0.33,50.86586633684111,-61.59511634739974
0.332,66.12589373008458,-56.77685854894027
0.334,59.95505374559599,-58.84898319378989
0.336,62.68467545472804,-57.733939003261035
0.338,132.13677278750038,-56.52932888679343
0.34,138.0602165778078,-55.06855890665849
0.342,142.75499440284932,-53.90019788698593
0.34400000000000003,147.13904764160304,-52.351722600958375
0.34600000000000003,139.1056586313856,-51.174862357420544
0.34800000000000003,144.42995118564744,-49.86656194477523
0.35000000000000003,148.1203691402235,-48.222057733584535
0.352,142.35679168842205,-46.87412147358809
0.354,146.12776401245364,-45.18658915682589
0.356,166.25476909159914,-36.62834858821094
0.358,158.29621262140284,-41.092988902441896
0.36,155.73507224251833,-40.03243366570789
0.362,159.75288741508152,-38.24757683089332
0.364,169.05035974653356,-37.09749347287985
0.366,163.75139785075885,-35.625444496172406
0.368,174.88235759247274,-25.060368692612826
0.37,172.2236648396527,-31.728568043902584
0.372,181.2986069715439,-20.923328223642464
0.374,181.74003578317019,-27.59848843739737
0.376,181.05470610489985,-26.655080654117164
0.378,180.02019925658215,-24.904661178964503
0.38,194.9459384253234,-12.62837192446043
0.382,189.19250367298918,-20.52895586209624
0.384,201.73140790713768,-6.882585078225755
0.386,198.44568987234635,-15.454000962608788
0.388,197.47198413765278,-13.796455376433585
0.39,198.8614316930871,-12.18572549877429
0.392,218.3379148398896,3.4821116717726994
0.394,223.842578299383,8.714780347748054
0.396,214.71688463967286,-1.0348643957918853
0.398,227.58670142503655,0.9292793746050378
0.4,227.14727917653727,3.1314961270083614
0.402,233.42406537127346,8.185321081305013
0.404,252.57210774353896,27.19074787128865
0.406,241.92192180453284,17.315452210061963
0.40800000000000003,257.3503304406785,20.237519457351183
0.41000000000000003,256.7837826118775,23.6340539337939
0.41200000000000003,273.20393375988823,31.86680707550056
