Time,Electrical Power,Mechanical Power
0.0,50.0,0.0
0.002,1269.2769524686394,27.37376265630717
0.004,1623.1999999999998,420.47834420901677
0.006,2079.199361041216,775.6703933732134
0.008,2504.5986257868035,1109.5015085465034
0.01,2877.3983645981575,1423.2002065918873
0.012,3291.8,1676.1820967021151
0.014,3584.6000000000004,1883.74084171613
0.016,3826.1942902769574,2060.1583771541577
0.018000000000000002,4050.1997143442454,2213.399148250498
0.02,4113.9999404904565,2348.571242923561
0.022,4313.983435827222,2469.264452064503
0.024,4442.599591563013,2578.2325955145006
0.026000000000000002,4310.777833270611,2529.589390193508
0.028,3898.397898253872,2384.4329067629537
0.03,3508.597530914724,2225.019133071714
0.032,3200.976605322063,2055.7753996047677
0.034,2942.0939292390644,1876.3063694849702
0.036000000000000004,2585.1983782672187,1690.7149354431672
0.038,2292.0747504284036,1501.506342154074
0.04,2032.0639575318355,1309.0426780975781
0.042,1714.271845649878,1115.3880437436842
0.044,1472.8912854291725,921.2026057194371
0.046,1230.6643971209169,727.4050382662792
0.048,988.777156271632,542.8195297886008
0.05,800.8600492893273,370.0131255172656
0.052000000000000005,574.5110027500453,213.0989145921926
0.054,462.0641883469437,70.91334973343113
0.056,426.4060404880234,-58.75483569270048
0.058,272.5667555101234,-173.19856091286263
0.06,95.1220526405233,-274.60969303500724
0.062,17.170481099625967,-365.67856237856245
0.064,-49.543660544990544,-444.5358330681265
0.066,-85.4912954528794,-512.6288635999324
0.068,-182.02128813191013,-573.5061405776038
0.07,-201.6233211439258,-624.4468681787782
0.07200000000000001,-215.52702764008717,-667.6024769585108
0.074,-298.6585504305855,-742.4050568441601
0.076,-369.9717050520807,-842.8531597303212
0.078,-450.85381606389467,-920.2069511327073
0.08,-465.3202012587525,-985.6691467434716
0.082,-410.8869151573666,-1041.220777330029
0.084,-415.46786404063073,-1084.3394335107232
0.08600000000000001,-446.5515828859745,-1112.1162442731352
0.088,-417.49915494261654,-1128.3503282216104
0.09,-342.73510536175706,-1132.4514228409653
0.092,-306.80578405699123,-1124.2527871518369
0.094,-222.7825266917422,-1103.360044983267
0.096,-197.70344770678426,-1069.2963462022917
0.098,-118.44037292638097,-1021.5348747206513
0.1,-145.9661078617341,-959.5205013632611
0.10200000000000001,-85.72568146780833,-882.6923766304647
0.10400000000000001,-13.494582048311727,-790.5101395885281
0.106,110.85662584165112,-682.464313360147
0.108,205.75112961679116,-558.0802720249026
0.11,399.9764556574475,-416.92925601763335
0.112,549.7035821968711,-260.0174460189465
0.114,768.2464940011338,-95.64737242819615
0.116,951.5137744791703,89.18288232851677
0.11800000000000001,1207.8999999999999,292.5657056702054
0.12,1478.7999999999997,514.4287541619952
0.122,1896.8,756.4754812271658
0.124,2259.0,1019.1532692013475
0.126,2685.2999999999997,1301.561799367166
0.128,-527.1009962193023,-840.3461059148576
0.13,-400.7586370184001,-690.241514578762
0.132,-307.1873833681094,-564.4970103801946
0.134,-127.40113161888468,-304.15401091900054
0.136,-80.26318670335607,-266.58903663962013
0.138,-79.18288281254746,-252.7321023393073
0.14,-41.51594620010033,-204.26816565603622
0.14200000000000002,-16.206249111785382,-165.26807326421306
0.14400000000000002,18.255370797455196,-108.45992032740799
0.146,115.31507783080895,-96.31545886465749
0.148,128.13554035913756,-86.15216727196011
0.15,140.27701746674649,-78.31427286521108
0.152,157.95878792070894,-64.50038748723343
0.154,172.27337912158845,-64.01019143286403
0.156,159.426155048336,-75.51438189631475
0.158,144.96757354793795,-77.62153739472538
0.16,137.014637111407,-80.57567483760232
0.162,125.20124432208843,-84.16538924687049
0.164,118.98838683027066,-87.86702443931671
0.166,112.68556980837111,-84.16568044693742
0.168,96.46903922870574,-95.5248864214771
0.17,89.6785006146132,-100.55116823183626
0.17200000000000001,90.91693440047902,-104.05706727246663
0.17400000000000002,91.14902538840636,-107.4238513647916
0.176,84.55892233546271,-110.55193617054825
0.178,89.55670942169822,-113.02595847309452
0.18,80.05709178955391,-115.35334931869198
