Time,Electrical Power,Mechanical Power
0.0,79.59999986785968,-5.2414823394432085e-08
0.02,46.90114781937608,-18.439348805878954
0.04,81.10619482527966,-74.28023471867566
0.06,29.871241477093534,-17.26630120227321
0.08,83.86950399616394,-67.82353566025733
0.1,78.65702083848839,-88.62171406101372
0.12,95.07141172283133,-92.73695381544607
0.14,81.03149447871769,-127.10227977081053
0.16,37.253355976696476,-136.8733220116518
0.18,12.668126863654631,-157.7659365681727
0.2,-14.948227269508202,-175.0741136347541
0.22,-7.776143586044533,-172.28807179302228
0.24,-8.370610255289805,-178.28530512764493
0.26,43.02733762450839,-143.8863311877458
0.28,113.08488740855302,-101.4575562957235
0.3,290.801140343941,32.30639212933384
0.32,687.0453531487042,320.0999860438361
0.34,1755.8278344557848,963.5311058306861
0.36,3947.3999999999996,2559.0164117324744
0.38,6004.29420821404,4208.652103243432
0.4,-426.6209415342949,-2661.196030350449
0.42,66.54516624780398,-302.72741687609806
0.44,469.57748394189593,-42.53183426333363
0.46,223.11836822324514,108.3956337243255
0.48,102.31957958198224,87.4773147729647
0.5,-31.732510620814637,-101.99075095347035
0.52,16.679410985509445,-365.8562672829766
0.54,73.36796235639004,-478.1160188218049
0.56,-20.869541133651907,-271.234770566826
0.58,-3.6480367509794283,-57.22401837548971
0.6,90.86439355580094,14.217125940224339
0.62,129.015922191329,24.223696806621614
0.64,248.9950447059243,18.379129712220625
0.66,266.84615118437273,10.8390940809013
0.68,273.95792176494115,5.164338235214373
0.7000000000000001,281.5633649342528,1.6314771332961757
0.72,283.95376589039853,-0.2946450501944329
0.74,284.3169366437991,-1.0905764750836822
0.76,189.22402115699322,-0.9413623391944232
0.78,194.29174543559185,0.18845085612430398
0.8,202.99176929690051,2.4415532606062564
0.8200000000000001,211.70009962229148,5.992147306216951
0.84,215.63709866187497,10.945307544149099
0.86,221.57868067269877,16.969054503173698
0.88,225.55130062309073,22.35574328364237
0.9,225.5763035797079,23.347530985943163
0.92,225.62708674418639,17.397974089020934
0.9400000000000001,231.64139376575255,8.507662970340172
0.96,240.83989925000006,2.1507137712884115
0.98,253.20212657453152,-0.668866210543262
1.0,264.83092808197506,-3.5845359590124644
1.02,239.61216858498338,-11.193915707508298
1.04,142.0251436099032,-78.28702858161527
1.06,426.0,194.29238081039242
1.08,394.28505830692825,-4665.742103803063
1.1,-566.0321321419204,-4070.944368862119
1.12,-1057.6836379422373,-2076.4001250737033
1.1400000000000001,-291.6101443103454,-952.0050721551728
1.16,173.64287211042452,-85.77856394478776
1.18,151.1835172349389,-0.4513980764409071
1.2,151.3589883688571,5.920053654667781
1.22,-18.407974986011915,35.66193076856526
1.24,134.8538904883515,-25.67598316541739
1.26,98.80499343443738,31.20819831966898
1.28,130.054485708442,-50.90943907435709
1.3,74.40191610297627,10.635209416236567
1.32,184.8738592736332,-97.39714183756902
1.34,257.1709104753997,-2.9311482912669518
1.36,186.47433661115357,-67.914251622062
