Time,Electrical Power,Mechanical Power
0.0,50.0,0.0
0.002,1523.1412904877232,172.26115537699337
0.004,1960.362652404876,621.6912574493826
0.006,2386.232238186338,995.9603385899932
0.008,2843.6665710403854,1342.8803884951049
0.01,3218.8424468894727,1625.4574478240884
0.012,3534.0045303038182,1855.0626395739368
0.014,3819.4359376530347,2049.166583424931
0.016,4066.0965949359534,2216.997946901345
0.018000000000000002,4250.444217391037,2364.362598521577
0.02,4407.560929790118,2495.2706399564167
0.022,4545.622482810912,2612.6561339315576
0.024,4619.140592020465,2718.799924477612
0.026000000000000002,4665.533021993559,2776.9437691959447
0.028,4369.503294187732,2624.3661904813516
0.03,3929.348203635631,2458.433661644228
0.032,3544.46830803176,2281.0967008986936
0.034,3191.8865745176063,2094.122161634066
0.036000000000000004,2882.790325873283,1904.3727851040592
0.038,2588.0525065978613,1710.1223478612617
0.04,2293.3731626343406,1513.5919305035231
0.042,2050.646830783967,1314.6518125333232
0.044,1742.4596307748852,1116.0818577076038
0.046,1174.7451685823926,684.8161616602383
0.048,522.535254394861,75.26440089784874
0.05,-9.80852691893623,-416.3977293907717
0.052000000000000005,-291.5544985194168,-770.4824591878512
0.054,-462.3382372712547,-995.072809397737
0.056,-517.4032002151423,-1098.693730403252
0.058,-507.93094632348004,-1092.0011119355936
0.06,-443.3504687012677,-987.6525456854799
0.062,-332.95454266210106,-796.0559648738885
0.064,-119.78691613994951,-529.0126491610753
0.066,-62.15770700734474,-453.8896106642785
0.068,-98.99949494269345,-524.4151824365605
0.07,-157.52560602356925,-585.1768999388187
0.07200000000000001,-207.6745801814186,-639.03939636076
0.074,-247.1846072781355,-685.2837531031153
0.076,-300.9946667208357,-755.8171579441657
0.078,-361.4562142051524,-873.5517886745611
0.08,-342.7821248007351,-976.4059486361198
0.082,-383.4411274046849,-1061.5787517047688
0.084,-397.11810817398634,-1132.2520054228225
0.08600000000000001,-425.36611993210374,-1188.87111504209
0.088,-367.6737079384836,-1231.0352559517846
0.09,-368.7239231618993,-1258.6966860356763
0.092,-345.0089546178351,-1271.8089082335491
0.094,-340.22822054912683,-1269.0180589065972
0.096,-303.67506096549624,-1251.499981080137
0.098,-251.43006792722446,-1222.5049926021995
0.1,-171.67334167987428,-1172.9062928256365
0.10200000000000001,-86.0923408760207,-1102.9174002831915
0.10400000000000001,-16.31091946003815,-1012.8888048673169
0.106,57.73324795755391,-902.3206819217074
0.108,240.92357060974626,-771.1712689367474
0.11,398.9689844340846,-618.4116368555249
0.112,518.3883980234016,-442.68501299890784
0.114,743.5223854322685,-243.3550787323391
0.116,1033.9479181252818,-17.98436216669657
0.11800000000000001,1314.9158679843677,233.91984896122062
0.12,1699.203399621104,509.04584165139624
0.122,1988.5385418838466,791.228343960747
0.124,2453.873111534901,1075.2025289602925
0.126,2827.4675889942005,1358.9874773003453
0.128,3208.1400056583598,1600.945488424871
0.13,3489.7578337479117,1792.1984203170728
0.132,3738.8364150870775,1949.1231026661649
0.134,3927.1498813784647,2093.094810977602
0.136,4126.490680332516,2226.6618242882205
0.138,4278.6269591393,2351.2561731733886
0.14,4461.595789481588,2467.9138916380934
0.14200000000000002,4586.937810636661,2577.5237320346714
0.14400000000000002,-1733.528867039432,-2751.403974077005
0.146,-1028.923321330489,-1633.2631727793073
0.148,-528.2599793545153,-1018.5008581780634
0.15,-245.96569422769232,-604.6544700903349
0.152,-9.405391996949866,-326.6949081566639
0.154,132.7981292026779,-145.0237966119829
0.156,211.3644467766306,-28.456537633095344
0.158,258.6768713075322,43.428078370257154
0.16,212.27377822746118,85.46750669367769
0.162,234.65457777852703,101.56345128410504
0.164,228.1554926592967,100.19839814233491
0.166,219.23187321027274,91.92863198886621
0.168,199.1015067760418,80.12986860083502
0.17,187.35123335326446,66.36938481170165
0.17200000000000001,173.44199500764884,51.25261312722528
0.17400000000000002,148.2522106750269,22.54240392917709
0.176,114.59609819733544,-4.506699427016031
0.178,146.51546105675106,-37.80023087758549
0.18,143.3463642119358,-68.39472905395169
0.182,115.5543551384746,-91.45107571316876
0.184,71.73120094858115,-103.86229374521336
0.186,60.91829238217182,-114.63036724015471
0.188,60.74125509633982,-125.1799951663483
0.19,54.61689076949339,-133.48302189799887
0.192,53.03854522634405,-137.9127091159821
0.194,83.36815414136608,-136.23508603618913
0.196,96.20938447790877,-132.04325303619714
0.198,61.58472891402055,-129.1576104740674
0.2,59.99709173512008,-129.41182307586058
0.202,63.09248211116697,-130.89899355355982
0.20400000000000001,53.59216334145697,-131.9138656043892
0.20600000000000002,57.17309505181498,-132.95914786888122
0.20800000000000002,91.38356095461178,-133.23081587066497
0.21,91.96213877718463,-133.2719020256274
0.212,101.27193576810332,-133.6709123344575
0.214,61.793316702565406,-132.4688290387928
0.216,109.88708853363579,-132.22580690822267
0.218,105.18041263837662,-131.31732239877365
0.22,108.16282284900625,-130.2884915129383
0.222,99.14520425776817,-129.26355578020727
0.224,102.1753769306638,-128.17833746361444
0.226,67.84405342922331,-125.99848431912028
0.228,113.69247950343001,-123.7114669941641
0.23,115.63891103961055,-123.65440118763077
0.232,110.96733097832353,-122.94244306282152
0.234,113.68385443029845,-122.04950333997306
0.23600000000000002,108.9816005530951,-120.11194232619651
0.23800000000000002,107.3962524221259,-118.24543145203793
0.24,113.19846763164331,-117.88743598621556
0.242,116.8362674276269,-113.36483831280631
0.244,120.66859641928397,-113.60226803161686
0.246,78.72216308638033,-109.0876548331821
0.248,127.36868719181979,-109.9959165889587
0.25,122.64696115447222,-109.61111148021831
